project_id,ngo_id,project_name,project_status,primary_sector,secondary_sectors,location_country,location_state_primary,location_district_primary,is_remote_area,is_disaster_relief,start_date,end_date,duration_months,duration_days,beneficiaries_reported,villages_covered,milestones_reported,milestones_completed,outcomes_reported,ngo_age_years_at_start,number_of_operational_states,number_of_operational_districts,number_of_sectors,prior_projects_count,prior_max_beneficiaries
PRJ_NGO_00003_3,NGO_00003,Water & Sanitation Initiative #3 (Coimbatore),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Coimbatore,False,True,2022-10-01,2023-05-29,8,240,4981,20,5,4,Successfully completed primary community training and material deployment.,4,2,3,3,3,4812.0
PRJ_NGO_00003_2,NGO_00003,Water & Sanitation Initiative #2 (Coimbatore),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Coimbatore,False,True,2023-11-01,2024-11-25,13,390,1182,20,4,4,Successfully completed primary community training and material deployment.,5,2,3,3,4,4981.0
PRJ_NGO_00003_1,NGO_00003,Water & Sanitation Initiative #1 (Coimbatore),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Coimbatore,False,True,2024-09-01,2025-07-28,11,330,4360,4,4,2,Successfully completed primary community training and material deployment.,6,2,3,3,5,4981.0
PRJ_NGO_00005_2,NGO_00005,Women Empowerment Initiative #2 (Bengaluru Urban),Completed,Social Welfare & Community Development,"[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2023-02-01,2024-04-26,15,450,2733,15,5,5,Successfully completed primary community training and material deployment.,0,2,3,2,0,
PRJ_NGO_00005_3,NGO_00005,Women Empowerment Initiative #3 (Bengaluru Urban),Completed,Social Welfare & Community Development,"[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2023-09-01,2024-06-27,10,300,3644,14,4,4,Successfully completed primary community training and material deployment.,0,2,3,2,1,2733.0
PRJ_NGO_00005_1,NGO_00005,Women Empowerment Initiative #1 (Bengaluru Urban),Completed,Social Welfare & Community Development,"[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2024-12-01,2025-11-26,12,360,3733,4,5,5,Successfully completed primary community training and material deployment.,1,2,3,2,2,3644.0
PRJ_NGO_00006_5,NGO_00006,Nutrition & Food Security Initiative #5 (Howrah),Completed,Healthcare & Nutrition,[],India,West Bengal,Howrah,False,False,2020-03-01,2021-10-22,20,600,611,10,6,4,Successfully completed primary community training and material deployment.,6,1,4,1,0,
PRJ_NGO_00006_4,NGO_00006,Nutrition & Food Security Initiative #4 (Howrah),Completed,Healthcare & Nutrition,[],India,West Bengal,Howrah,False,False,2021-03-01,2023-01-20,23,690,3427,20,3,2,Successfully completed primary community training and material deployment.,7,1,4,1,1,611.0
PRJ_NGO_00006_3,NGO_00006,Nutrition & Food Security Initiative #3 (Howrah),Completed,Healthcare & Nutrition,[],India,West Bengal,Howrah,False,False,2022-07-01,2024-03-22,21,630,3385,12,6,3,Successfully completed primary community training and material deployment.,8,1,4,1,2,3427.0
PRJ_NGO_00006_2,NGO_00006,Nutrition & Food Security Initiative #2 (Howrah),Completed,Healthcare & Nutrition,[],India,West Bengal,Howrah,False,False,2023-06-01,2024-08-24,15,450,3632,19,4,4,Successfully completed primary community training and material deployment.,9,1,4,1,3,3427.0
PRJ_NGO_00006_1,NGO_00006,Nutrition & Food Security Initiative #1 (Howrah),Ongoing,Healthcare & Nutrition,[],India,West Bengal,Howrah,False,False,2024-07-01,,18,540,360,20,6,2,,10,1,4,1,4,3632.0
PRJ_NGO_00007_1,NGO_00007,Education Initiative #1 (Kozhikode),Ongoing,Education & Skill Development,[],India,Kerala,Kozhikode,False,False,2024-06-01,,20,600,3767,7,5,3,,0,2,5,1,0,
PRJ_NGO_00007_2,NGO_00007,Education Initiative #2 (Kozhikode),Completed,Education & Skill Development,[],India,Kerala,Kozhikode,False,False,2024-09-01,2026-05-24,21,630,3768,20,5,4,Successfully completed primary community training and material deployment.,0,2,5,1,1,3767.0
PRJ_NGO_00008_2,NGO_00008,Environment & Forests Initiative #2 (North Delhi),Completed,"Water, Sanitation & Environment",[],India,Delhi,North Delhi,False,False,2024-03-01,2024-09-27,7,210,4113,5,3,3,Successfully completed primary community training and material deployment.,0,1,3,1,0,
PRJ_NGO_00008_1,NGO_00008,Environment & Forests Initiative #1 (North Delhi),Completed,"Water, Sanitation & Environment",[],India,Delhi,North Delhi,False,False,2024-08-01,2025-04-28,9,270,4902,11,6,5,Successfully completed primary community training and material deployment.,0,1,3,1,1,4113.0
PRJ_NGO_00008_3,NGO_00008,Environment & Forests Initiative #3 (North Delhi),Completed,"Water, Sanitation & Environment",[],India,Delhi,North Delhi,False,False,2024-10-01,2025-04-29,7,210,1422,20,5,2,Successfully completed primary community training and material deployment.,0,1,3,1,2,4902.0
PRJ_NGO_00009_3,NGO_00009,Disaster Relief & Rehabilitation Initiative #3 (Rajkot),Completed,Emergency Relief & Rehabilitation,[],India,Gujarat,Rajkot,True,True,2022-12-01,2024-08-22,21,630,3480,19,3,3,Successfully completed primary community training and material deployment.,0,2,4,1,0,
PRJ_NGO_00009_2,NGO_00009,Disaster Relief & Rehabilitation Initiative #2 (Rajkot),Completed,Emergency Relief & Rehabilitation,[],India,Gujarat,Rajkot,True,True,2023-08-01,2024-12-23,17,510,2930,12,3,3,Successfully completed primary community training and material deployment.,1,2,4,1,1,3480.0
PRJ_NGO_00009_1,NGO_00009,Disaster Relief & Rehabilitation Initiative #1 (Rajkot),Completed,Emergency Relief & Rehabilitation,[],India,Gujarat,Rajkot,True,True,2024-11-01,2026-06-24,20,600,1686,20,6,5,Successfully completed primary community training and material deployment.,2,2,4,1,2,3480.0
PRJ_NGO_00010_1,NGO_00010,Child Welfare Initiative #1 (Ahmedabad),Completed,Social Welfare & Community Development,"[""Education & Skill Development""]",India,Gujarat,Ahmedabad,False,False,2025-04-01,2027-03-22,24,720,2113,15,3,3,Successfully completed primary community training and material deployment.,0,1,4,2,0,
PRJ_NGO_00011_5,NGO_00011,Nutrition & Food Security Initiative #5 (Jaipur),Completed,Healthcare & Nutrition,[],India,Rajasthan,Jaipur,False,False,2020-04-01,2021-03-27,12,360,2253,6,3,2,Successfully completed primary community training and material deployment.,16,1,3,1,0,
PRJ_NGO_00011_4,NGO_00011,Nutrition & Food Security Initiative #4 (Jaipur),Completed,Healthcare & Nutrition,[],India,Rajasthan,Jaipur,False,False,2021-12-01,2022-06-29,7,210,4269,11,4,4,Successfully completed primary community training and material deployment.,17,1,3,1,1,2253.0
PRJ_NGO_00011_3,NGO_00011,Nutrition & Food Security Initiative #3 (Jaipur),Completed,Healthcare & Nutrition,[],India,Rajasthan,Jaipur,False,False,2022-12-01,2024-02-24,15,450,3442,10,3,3,Successfully completed primary community training and material deployment.,18,1,3,1,2,4269.0
PRJ_NGO_00011_2,NGO_00011,Nutrition & Food Security Initiative #2 (Jaipur),Completed,Healthcare & Nutrition,[],India,Rajasthan,Jaipur,False,False,2023-08-01,2024-04-27,9,270,3324,20,5,5,Successfully completed primary community training and material deployment.,19,1,3,1,3,4269.0
PRJ_NGO_00011_1,NGO_00011,Nutrition & Food Security Initiative #1 (Jaipur),Completed,Healthcare & Nutrition,[],India,Rajasthan,Jaipur,False,False,2024-10-01,2025-12-25,15,450,2248,16,5,3,Successfully completed primary community training and material deployment.,20,1,3,1,4,4269.0
PRJ_NGO_00012_5,NGO_00012,Environment & Forests Initiative #5 (Bengaluru Urban),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2021-01-01,2021-11-27,11,330,629,6,6,6,Successfully completed primary community training and material deployment.,0,1,3,2,0,
PRJ_NGO_00012_4,NGO_00012,Environment & Forests Initiative #4 (Bengaluru Urban),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2021-03-01,2021-11-26,9,270,1279,2,5,3,Successfully completed primary community training and material deployment.,0,1,3,2,1,629.0
PRJ_NGO_00012_3,NGO_00012,Environment & Forests Initiative #3 (Bengaluru Urban),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2022-04-01,2023-07-25,16,480,223,10,4,3,Successfully completed primary community training and material deployment.,1,1,3,2,2,1279.0
PRJ_NGO_00012_2,NGO_00012,Environment & Forests Initiative #2 (Bengaluru Urban),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2023-03-01,2025-02-18,24,720,762,19,4,4,Successfully completed primary community training and material deployment.,2,1,3,2,3,1279.0
PRJ_NGO_00012_1,NGO_00012,Environment & Forests Initiative #1 (Bengaluru Urban),Ongoing,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Karnataka,Bengaluru Urban,False,False,2024-02-01,,20,600,1937,2,3,2,,3,1,3,2,4,1279.0
PRJ_NGO_00013_6,NGO_00013,Education Initiative #6 (Ahmedabad),Completed,Education & Skill Development,[],India,Gujarat,Ahmedabad,False,False,2020-09-01,2021-09-26,13,390,4777,13,3,3,Successfully completed primary community training and material deployment.,8,1,3,1,0,
PRJ_NGO_00013_5,NGO_00013,Education Initiative #5 (Ahmedabad),Completed,Education & Skill Development,[],India,Gujarat,Ahmedabad,False,False,2021-05-01,2022-08-24,16,480,263,17,6,3,Successfully completed primary community training and material deployment.,9,1,3,1,1,4777.0
PRJ_NGO_00013_4,NGO_00013,Education Initiative #4 (Ahmedabad),Completed,Education & Skill Development,[],India,Gujarat,Ahmedabad,False,False,2022-10-01,2023-04-29,7,210,1874,11,4,3,Successfully completed primary community training and material deployment.,10,1,3,1,2,4777.0
PRJ_NGO_00013_3,NGO_00013,Education Initiative #3 (Ahmedabad),Completed,Education & Skill Development,[],India,Gujarat,Ahmedabad,False,False,2023-05-01,2025-04-20,24,720,4516,11,3,3,Successfully completed primary community training and material deployment.,11,1,3,1,3,4777.0
PRJ_NGO_00013_2,NGO_00013,Education Initiative #2 (Ahmedabad),Completed,Education & Skill Development,[],India,Gujarat,Ahmedabad,False,False,2024-08-01,2026-03-24,20,600,2437,8,3,3,Successfully completed primary community training and material deployment.,12,1,3,1,4,4777.0
PRJ_NGO_00013_1,NGO_00013,Education Initiative #1 (Ahmedabad),Ongoing,Education & Skill Development,[],India,Gujarat,Ahmedabad,False,False,2025-01-01,,10,300,607,4,5,2,,13,1,3,1,5,4777.0
PRJ_NGO_00014_6,NGO_00014,Water & Sanitation Initiative #6 (Nagpur),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development""]",India,Maharashtra,Nagpur,False,False,2022-05-01,2023-06-25,14,420,1431,12,3,3,Successfully completed primary community training and material deployment.,0,1,2,2,0,
PRJ_NGO_00014_3,NGO_00014,Water & Sanitation Initiative #3 (Nagpur),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development""]",India,Maharashtra,Nagpur,False,False,2022-06-01,2023-01-27,8,240,1613,3,4,4,Successfully completed primary community training and material deployment.,0,1,2,2,1,1431.0
PRJ_NGO_00014_5,NGO_00014,Water & Sanitation Initiative #5 (Nagpur),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development""]",India,Maharashtra,Nagpur,False,False,2022-06-01,2022-12-28,7,210,739,12,3,3,Successfully completed primary community training and material deployment.,0,1,2,2,2,1613.0
PRJ_NGO_00014_4,NGO_00014,Water & Sanitation Initiative #4 (Nagpur),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development""]",India,Maharashtra,Nagpur,False,False,2022-09-01,2024-06-22,22,660,1500,13,5,4,Successfully completed primary community training and material deployment.,0,1,2,2,3,1613.0
PRJ_NGO_00014_2,NGO_00014,Water & Sanitation Initiative #2 (Nagpur),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development""]",India,Maharashtra,Nagpur,False,False,2023-06-01,2025-02-20,21,630,1435,3,6,2,Successfully completed primary community training and material deployment.,1,1,2,2,4,1613.0
PRJ_NGO_00014_1,NGO_00014,Water & Sanitation Initiative #1 (Nagpur),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development""]",India,Maharashtra,Nagpur,False,False,2024-07-01,2026-02-21,20,600,4740,3,6,6,Successfully completed primary community training and material deployment.,2,1,2,2,5,1613.0
PRJ_NGO_00015_4,NGO_00015,Healthcare & Medical Initiative #4 (Khordha),Completed,Healthcare & Nutrition,"[""Social Welfare & Community Development""]",India,Odisha,Khordha,True,False,2021-02-01,2022-11-23,22,660,4356,18,3,3,Successfully completed primary community training and material deployment.,21,1,2,2,0,
PRJ_NGO_00015_3,NGO_00015,Healthcare & Medical Initiative #3 (Khordha),Completed,Healthcare & Nutrition,"[""Social Welfare & Community Development""]",India,Odisha,Khordha,True,False,2022-06-01,2023-06-26,13,390,3612,7,3,3,Successfully completed primary community training and material deployment.,22,1,2,2,1,4356.0
PRJ_NGO_00015_2,NGO_00015,Healthcare & Medical Initiative #2 (Khordha),Completed,Healthcare & Nutrition,"[""Social Welfare & Community Development""]",India,Odisha,Khordha,True,False,2023-01-01,2024-10-22,22,660,2181,6,5,5,Successfully completed primary community training and material deployment.,23,1,2,2,2,4356.0
PRJ_NGO_00015_1,NGO_00015,Healthcare & Medical Initiative #1 (Khordha),Ongoing,Healthcare & Nutrition,"[""Social Welfare & Community Development""]",India,Odisha,Khordha,True,False,2024-04-01,,19,570,3944,4,3,2,,24,1,2,2,3,4356.0
PRJ_NGO_00016_4,NGO_00016,Skill Development & Livelihood Initiative #4 (Coimbatore),Completed,Education & Skill Development,[],India,Tamil Nadu,Coimbatore,False,False,2021-08-01,2022-12-24,17,510,3836,4,4,4,Successfully completed primary community training and material deployment.,8,1,4,1,0,
PRJ_NGO_00016_3,NGO_00016,Skill Development & Livelihood Initiative #3 (Coimbatore),Completed,Education & Skill Development,[],India,Tamil Nadu,Coimbatore,False,False,2022-11-01,2024-03-25,17,510,3336,20,3,3,Successfully completed primary community training and material deployment.,9,1,4,1,1,3836.0
PRJ_NGO_00016_2,NGO_00016,Skill Development & Livelihood Initiative #2 (Coimbatore),Completed,Education & Skill Development,[],India,Tamil Nadu,Coimbatore,False,False,2023-11-01,2024-09-26,11,330,1369,16,3,3,Successfully completed primary community training and material deployment.,10,1,4,1,2,3836.0
PRJ_NGO_00016_1,NGO_00016,Skill Development & Livelihood Initiative #1 (Coimbatore),Completed,Education & Skill Development,[],India,Tamil Nadu,Coimbatore,False,False,2024-07-01,2025-08-25,14,420,814,14,5,5,Successfully completed primary community training and material deployment.,11,1,4,1,3,3836.0
PRJ_NGO_00017_2,NGO_00017,Environment & Forests Initiative #2 (Salem),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Salem,True,True,2023-09-01,2025-08-21,24,720,1257,15,3,2,Successfully completed primary community training and material deployment.,0,1,2,3,0,
PRJ_NGO_00017_1,NGO_00017,Environment & Forests Initiative #1 (Salem),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Salem,True,True,2024-02-01,2024-11-27,10,300,807,16,6,6,Successfully completed primary community training and material deployment.,1,1,2,3,1,1257.0
PRJ_NGO_00018_3,NGO_00018,Water & Sanitation Initiative #3 (South Delhi),Completed,"Water, Sanitation & Environment","[""Education & Skill Development""]",India,Delhi,South Delhi,False,False,2022-08-01,2024-04-22,21,630,4596,2,3,3,Successfully completed primary community training and material deployment.,1,1,3,2,0,
PRJ_NGO_00018_2,NGO_00018,Water & Sanitation Initiative #2 (South Delhi),Completed,"Water, Sanitation & Environment","[""Education & Skill Development""]",India,Delhi,South Delhi,False,False,2023-09-01,2025-04-23,20,600,1962,20,5,2,Successfully completed primary community training and material deployment.,2,1,3,2,1,4596.0
PRJ_NGO_00018_1,NGO_00018,Water & Sanitation Initiative #1 (South Delhi),Completed,"Water, Sanitation & Environment","[""Education & Skill Development""]",India,Delhi,South Delhi,False,False,2024-09-01,2026-04-24,20,600,2727,17,3,2,Successfully completed primary community training and material deployment.,3,1,3,2,2,4596.0
PRJ_NGO_00019_5,NGO_00019,Environment & Forests Initiative #5 (Madurai),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Tamil Nadu,Madurai,False,False,2020-12-01,2022-01-25,14,420,1198,20,6,5,Successfully completed primary community training and material deployment.,0,1,1,2,0,
PRJ_NGO_00019_4,NGO_00019,Environment & Forests Initiative #4 (Madurai),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Tamil Nadu,Madurai,False,False,2021-12-01,2022-11-26,12,360,2797,17,5,5,Successfully completed primary community training and material deployment.,1,1,1,2,1,1198.0
PRJ_NGO_00019_3,NGO_00019,Environment & Forests Initiative #3 (Madurai),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Tamil Nadu,Madurai,False,False,2022-04-01,2023-04-26,13,390,4771,11,4,4,Successfully completed primary community training and material deployment.,2,1,1,2,2,2797.0
PRJ_NGO_00019_2,NGO_00019,Environment & Forests Initiative #2 (Madurai),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Tamil Nadu,Madurai,False,False,2023-06-01,2024-04-26,11,330,4567,12,5,4,Successfully completed primary community training and material deployment.,3,1,1,2,3,4771.0
PRJ_NGO_00019_1,NGO_00019,Environment & Forests Initiative #1 (Madurai),Completed,"Water, Sanitation & Environment","[""Healthcare & Nutrition""]",India,Tamil Nadu,Madurai,False,False,2024-12-01,2025-06-29,7,210,4449,8,5,5,Successfully completed primary community training and material deployment.,4,1,1,2,4,4771.0
PRJ_NGO_00020_4,NGO_00020,Nutrition & Food Security Initiative #4 (Kolkata),Completed,Healthcare & Nutrition,[],India,West Bengal,Kolkata,False,False,2021-08-01,2022-09-25,14,420,2673,20,3,3,Successfully completed primary community training and material deployment.,0,2,3,1,0,
PRJ_NGO_00020_5,NGO_00020,Nutrition & Food Security Initiative #5 (Kolkata),Completed,Healthcare & Nutrition,[],India,West Bengal,Kolkata,False,False,2021-12-01,2022-12-26,13,390,1168,16,5,3,Successfully completed primary community training and material deployment.,0,2,3,1,1,2673.0
PRJ_NGO_00020_3,NGO_00020,Nutrition & Food Security Initiative #3 (Kolkata),Completed,Healthcare & Nutrition,[],India,West Bengal,Kolkata,False,False,2022-03-01,2022-12-26,10,300,2850,9,3,3,Successfully completed primary community training and material deployment.,1,2,3,1,2,2673.0
PRJ_NGO_00020_2,NGO_00020,Nutrition & Food Security Initiative #2 (Kolkata),Completed,Healthcare & Nutrition,[],India,West Bengal,Kolkata,False,False,2023-11-01,2025-04-24,18,540,4421,12,3,3,Successfully completed primary community training and material deployment.,2,2,3,1,3,2850.0
PRJ_NGO_00020_1,NGO_00020,Nutrition & Food Security Initiative #1 (Kolkata),Completed,Healthcare & Nutrition,[],India,West Bengal,Kolkata,False,False,2024-12-01,2025-10-27,11,330,2961,11,4,3,Successfully completed primary community training and material deployment.,3,2,3,1,4,4421.0
PRJ_NGO_00021_6,NGO_00021,Skill Development & Livelihood Initiative #6 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2021-09-01,2022-08-27,12,360,1347,18,5,3,Successfully completed primary community training and material deployment.,0,2,2,2,0,
PRJ_NGO_00021_5,NGO_00021,Skill Development & Livelihood Initiative #5 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2021-10-01,2022-04-29,7,210,598,9,3,3,Successfully completed primary community training and material deployment.,0,2,2,2,1,1347.0
PRJ_NGO_00021_4,NGO_00021,Skill Development & Livelihood Initiative #4 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2021-12-01,2022-08-28,9,270,3634,2,4,3,Successfully completed primary community training and material deployment.,0,2,2,2,2,1347.0
PRJ_NGO_00021_7,NGO_00021,Skill Development & Livelihood Initiative #7 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2021-12-01,2023-11-21,24,720,4930,12,4,4,Successfully completed primary community training and material deployment.,0,2,2,2,3,3634.0
PRJ_NGO_00021_3,NGO_00021,Skill Development & Livelihood Initiative #3 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2022-04-01,2023-04-26,13,390,3035,6,5,3,Successfully completed primary community training and material deployment.,1,2,2,2,4,4930.0
PRJ_NGO_00021_2,NGO_00021,Skill Development & Livelihood Initiative #2 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2023-04-01,2023-09-28,6,180,2644,16,6,6,Successfully completed primary community training and material deployment.,2,2,2,2,5,4930.0
PRJ_NGO_00021_1,NGO_00021,Skill Development & Livelihood Initiative #1 (Prayagraj),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,Uttar Pradesh,Prayagraj,False,False,2024-09-01,2025-06-28,10,300,1171,7,6,6,Successfully completed primary community training and material deployment.,3,2,2,2,6,4930.0
PRJ_NGO_00022_5,NGO_00022,Skill Development & Livelihood Initiative #5 (North 24 Parganas),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,West Bengal,North 24 Parganas,False,False,2020-06-01,2021-04-27,11,330,4677,17,4,4,Successfully completed primary community training and material deployment.,0,2,3,2,0,
PRJ_NGO_00022_4,NGO_00022,Skill Development & Livelihood Initiative #4 (North 24 Parganas),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,West Bengal,North 24 Parganas,False,False,2021-11-01,2023-02-24,16,480,4202,17,6,3,Successfully completed primary community training and material deployment.,1,2,3,2,1,4677.0
PRJ_NGO_00022_3,NGO_00022,Skill Development & Livelihood Initiative #3 (North 24 Parganas),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,West Bengal,North 24 Parganas,False,False,2022-06-01,2023-06-26,13,390,4867,9,6,6,Successfully completed primary community training and material deployment.,2,2,3,2,2,4677.0
PRJ_NGO_00022_2,NGO_00022,Skill Development & Livelihood Initiative #2 (North 24 Parganas),Completed,Education & Skill Development,"[""Social Welfare & Community Development""]",India,West Bengal,North 24 Parganas,False,False,2023-04-01,2024-01-26,10,300,2336,19,6,4,Successfully completed primary community training and material deployment.,3,2,3,2,3,4867.0
PRJ_NGO_00022_1,NGO_00022,Skill Development & Livelihood Initiative #1 (North 24 Parganas),Ongoing,Education & Skill Development,"[""Social Welfare & Community Development""]",India,West Bengal,North 24 Parganas,False,False,2024-12-01,,21,630,1864,13,5,2,,4,2,3,2,4,4867.0
PRJ_NGO_00023_3,NGO_00023,Water & Sanitation Initiative #3 (Chennai),Completed,"Water, Sanitation & Environment",[],India,Tamil Nadu,Chennai,False,False,2022-05-01,2023-12-22,20,600,2409,5,4,2,Successfully completed primary community training and material deployment.,2,2,4,1,0,
PRJ_NGO_00023_2,NGO_00023,Water & Sanitation Initiative #2 (Chennai),Completed,"Water, Sanitation & Environment",[],India,Tamil Nadu,Chennai,False,False,2023-07-01,2024-04-26,10,300,2794,13,3,2,Successfully completed primary community training and material deployment.,3,2,4,1,1,2409.0
PRJ_NGO_00023_1,NGO_00023,Water & Sanitation Initiative #1 (Chennai),Completed,"Water, Sanitation & Environment",[],India,Tamil Nadu,Chennai,False,False,2024-11-01,2026-04-25,18,540,2619,9,3,2,Successfully completed primary community training and material deployment.,4,2,4,1,2,2794.0
PRJ_NGO_00024_2,NGO_00024,Skill Development & Livelihood Initiative #2 (Mumbai),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation""]",India,Maharashtra,Mumbai,False,True,2023-07-01,2024-03-27,9,270,1007,10,4,4,Successfully completed primary community training and material deployment.,13,1,2,2,0,
