project_id,line_item_id,category,description,unit,unit_cost_inr,quantity,total_cost_inr
PRJ_NGO_00002_1,PRJ_NGO_00002_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,145634.87,1,145634.87
PRJ_NGO_00003_6,PRJ_NGO_00003_6_ITEM_1,Materials,Materials costs for project,kit,1118.77,763,853621.51
PRJ_NGO_00003_6,PRJ_NGO_00003_6_ITEM_2,Labor,Labor costs for project,person-month,139260.81,5,696304.05
PRJ_NGO_00003_6,PRJ_NGO_00003_6_ITEM_3,Transport,Transport costs for project,trip,47283.0,3,141849.0
PRJ_NGO_00003_6,PRJ_NGO_00003_6_ITEM_4,Admin,Admin costs for project,lump-sum,414500.63,1,414500.63
PRJ_NGO_00003_6,PRJ_NGO_00003_6_ITEM_5,Contingency,Contingency costs for project,lump-sum,429923.29,1,429923.29
PRJ_NGO_00003_5,PRJ_NGO_00003_5_ITEM_1,Materials,Materials costs for project,kit,215.55,4812,1037226.6000000001
PRJ_NGO_00003_5,PRJ_NGO_00003_5_ITEM_2,Labor,Labor costs for project,person-month,223781.74,3,671345.22
PRJ_NGO_00003_5,PRJ_NGO_00003_5_ITEM_3,Transport,Transport costs for project,trip,114851.22,24,2756429.2800000003
PRJ_NGO_00003_5,PRJ_NGO_00003_5_ITEM_4,Admin,Admin costs for project,lump-sum,822056.03,1,822056.03
PRJ_NGO_00003_5,PRJ_NGO_00003_5_ITEM_5,Contingency,Contingency costs for project,lump-sum,3410056.61,1,3410056.61
PRJ_NGO_00003_4,PRJ_NGO_00003_4_ITEM_1,Materials,Materials costs for project,kit,1609.7,2375,3823037.5
PRJ_NGO_00003_4,PRJ_NGO_00003_4_ITEM_2,Labor,Labor costs for project,person-month,323586.07,8,2588688.56
PRJ_NGO_00003_4,PRJ_NGO_00003_4_ITEM_3,Transport,Transport costs for project,trip,171890.13,11,1890791.4300000002
PRJ_NGO_00003_4,PRJ_NGO_00003_4_ITEM_4,Admin,Admin costs for project,lump-sum,1295044.27,1,1295044.27
PRJ_NGO_00003_4,PRJ_NGO_00003_4_ITEM_5,Contingency,Contingency costs for project,lump-sum,834041.81,1,834041.81
PRJ_NGO_00003_3,PRJ_NGO_00003_3_ITEM_1,Materials,Materials costs for project,kit,6.72,4981,33472.32
PRJ_NGO_00003_3,PRJ_NGO_00003_3_ITEM_2,Labor,Labor costs for project,person-month,244320.06,4,977280.24
PRJ_NGO_00003_3,PRJ_NGO_00003_3_ITEM_3,Transport,Transport costs for project,trip,2397.29,24,57534.96
PRJ_NGO_00003_3,PRJ_NGO_00003_3_ITEM_4,Admin,Admin costs for project,lump-sum,787605.55,1,787605.55
PRJ_NGO_00003_3,PRJ_NGO_00003_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,10405019.96,1,10405019.96
PRJ_NGO_00003_2,PRJ_NGO_00003_2_ITEM_1,Materials,Materials costs for project,kit,1119.54,1182,1323296.28
PRJ_NGO_00003_2,PRJ_NGO_00003_2_ITEM_2,Labor,Labor costs for project,person-month,214384.34,6,1286306.04
PRJ_NGO_00003_2,PRJ_NGO_00003_2_ITEM_3,Transport,Transport costs for project,trip,42843.97,5,214219.85
PRJ_NGO_00003_2,PRJ_NGO_00003_2_ITEM_4,Admin,Admin costs for project,lump-sum,1596290.95,1,1596290.95
PRJ_NGO_00003_2,PRJ_NGO_00003_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,614887.62,1,614887.62
PRJ_NGO_00003_1,PRJ_NGO_00003_1_ITEM_1,Materials,Materials costs for project,kit,91.9,4360,400684.0
PRJ_NGO_00003_1,PRJ_NGO_00003_1_ITEM_2,Labor,Labor costs for project,person-month,468106.22,5,2340531.0999999996
PRJ_NGO_00003_1,PRJ_NGO_00003_1_ITEM_3,Transport,Transport costs for project,trip,459342.93,21,9646201.53
PRJ_NGO_00003_1,PRJ_NGO_00003_1_ITEM_4,Admin,Admin costs for project,lump-sum,1580932.15,1,1580932.15
PRJ_NGO_00003_1,PRJ_NGO_00003_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,1058039.15,1,1058039.15
PRJ_NGO_00005_2,PRJ_NGO_00005_2_ITEM_1,Materials,Materials costs for project,kit,1429.89,2733,3907889.37
PRJ_NGO_00005_2,PRJ_NGO_00005_2_ITEM_2,Staff,Staff costs for project,person-month,2328.6,7,16300.199999999999
PRJ_NGO_00005_2,PRJ_NGO_00005_2_ITEM_3,Transport,Transport costs for project,trip,7411.19,13,96345.47
PRJ_NGO_00005_2,PRJ_NGO_00005_2_ITEM_4,Admin,Admin costs for project,lump-sum,5326902.18,1,5326902.18
PRJ_NGO_00005_2,PRJ_NGO_00005_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,955053.04,1,955053.04
PRJ_NGO_00005_3,PRJ_NGO_00005_3_ITEM_1,Materials,Materials costs for project,kit,1099.25,3644,4005667.0
PRJ_NGO_00005_3,PRJ_NGO_00005_3_ITEM_2,Staff,Staff costs for project,person-month,458035.81,5,2290179.05
PRJ_NGO_00005_3,PRJ_NGO_00005_3_ITEM_3,Transport,Transport costs for project,trip,95070.68,18,1711272.2399999998
PRJ_NGO_00005_3,PRJ_NGO_00005_3_ITEM_4,Admin,Admin costs for project,lump-sum,637187.12,1,637187.12
PRJ_NGO_00005_3,PRJ_NGO_00005_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,256586.03,1,256586.03
PRJ_NGO_00005_1,PRJ_NGO_00005_1_ITEM_1,Materials,Materials costs for project,kit,79.13,3733,295392.29
PRJ_NGO_00005_1,PRJ_NGO_00005_1_ITEM_2,Staff,Staff costs for project,person-month,909960.72,6,5459764.32
PRJ_NGO_00005_1,PRJ_NGO_00005_1_ITEM_3,Transport,Transport costs for project,trip,22215.2,18,399873.60000000003
PRJ_NGO_00005_1,PRJ_NGO_00005_1_ITEM_4,Admin,Admin costs for project,lump-sum,777605.22,1,777605.22
PRJ_NGO_00005_1,PRJ_NGO_00005_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,2921546.26,1,2921546.26
PRJ_NGO_00006_5,PRJ_NGO_00006_5_ITEM_1,Food,Food costs for project,unit,3.28,12220,40081.6
PRJ_NGO_00006_5,PRJ_NGO_00006_5_ITEM_2,Transport,Transport costs for project,trip,365306.78,3,1095920.34
PRJ_NGO_00006_5,PRJ_NGO_00006_5_ITEM_3,Staff,Staff costs for project,person-month,6821.32,10,68213.2
PRJ_NGO_00006_5,PRJ_NGO_00006_5_ITEM_4,Admin,Admin costs for project,lump-sum,207407.28,1,207407.28
PRJ_NGO_00006_5,PRJ_NGO_00006_5_ITEM_5,Contingency,Contingency costs for project,lump-sum,83570.78,1,83570.78
PRJ_NGO_00006_4,PRJ_NGO_00006_4_ITEM_1,Food,Food costs for project,unit,27.31,78821,2152601.51
PRJ_NGO_00006_4,PRJ_NGO_00006_4_ITEM_2,Transport,Transport costs for project,trip,194373.74,17,3304353.58
PRJ_NGO_00006_4,PRJ_NGO_00006_4_ITEM_3,Staff,Staff costs for project,person-month,110146.08,11,1211606.8800000001
PRJ_NGO_00006_4,PRJ_NGO_00006_4_ITEM_4,Admin,Admin costs for project,lump-sum,1082544.3,1,1082544.3
PRJ_NGO_00006_4,PRJ_NGO_00006_4_ITEM_5,Contingency,Contingency costs for project,lump-sum,268315.73,1,268315.73
PRJ_NGO_00006_3,PRJ_NGO_00006_3_ITEM_1,Food,Food costs for project,unit,21.11,71085,1500604.3499999999
PRJ_NGO_00006_3,PRJ_NGO_00006_3_ITEM_2,Transport,Transport costs for project,trip,98245.31,16,1571924.96
PRJ_NGO_00006_3,PRJ_NGO_00006_3_ITEM_3,Staff,Staff costs for project,person-month,189968.85,10,1899688.5
PRJ_NGO_00006_3,PRJ_NGO_00006_3_ITEM_4,Admin,Admin costs for project,lump-sum,2130892.51,1,2130892.51
PRJ_NGO_00006_3,PRJ_NGO_00006_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,2204118.64,1,2204118.64
PRJ_NGO_00006_2,PRJ_NGO_00006_2_ITEM_1,Food,Food costs for project,unit,0.6,54480,32688.0
PRJ_NGO_00006_2,PRJ_NGO_00006_2_ITEM_2,Transport,Transport costs for project,trip,108168.34,18,1947030.1199999999
PRJ_NGO_00006_2,PRJ_NGO_00006_2_ITEM_3,Staff,Staff costs for project,person-month,231296.25,7,1619073.75
PRJ_NGO_00006_2,PRJ_NGO_00006_2_ITEM_4,Admin,Admin costs for project,lump-sum,3414001.15,1,3414001.15
PRJ_NGO_00006_2,PRJ_NGO_00006_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,208736.46,1,208736.46
PRJ_NGO_00006_1,PRJ_NGO_00006_1_ITEM_1,Food,Food costs for project,unit,36.97,6480,239565.6
PRJ_NGO_00006_1,PRJ_NGO_00006_1_ITEM_2,Transport,Transport costs for project,trip,136548.21,1,136548.21
PRJ_NGO_00006_1,PRJ_NGO_00006_1_ITEM_3,Staff,Staff costs for project,person-month,15538.76,9,139848.84
PRJ_NGO_00006_1,PRJ_NGO_00006_1_ITEM_4,Admin,Admin costs for project,lump-sum,34691.25,1,34691.25
PRJ_NGO_00006_1,PRJ_NGO_00006_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,307768.26,1,307768.26
PRJ_NGO_00007_1,PRJ_NGO_00007_1_ITEM_1,Materials,Materials costs for project,kit,157.26,3767,592398.4199999999
PRJ_NGO_00007_1,PRJ_NGO_00007_1_ITEM_2,Staff,Staff costs for project,person-month,9113.57,10,91135.7
PRJ_NGO_00007_1,PRJ_NGO_00007_1_ITEM_3,Transport,Transport costs for project,trip,346654.63,18,6239783.34
PRJ_NGO_00007_1,PRJ_NGO_00007_1_ITEM_4,Admin,Admin costs for project,lump-sum,781040.45,1,781040.45
PRJ_NGO_00007_1,PRJ_NGO_00007_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,427460.66,1,427460.66
PRJ_NGO_00007_2,PRJ_NGO_00007_2_ITEM_1,Materials,Materials costs for project,kit,1109.9,3768,4182103.2
PRJ_NGO_00007_2,PRJ_NGO_00007_2_ITEM_2,Staff,Staff costs for project,person-month,239399.95,10,2393999.5
PRJ_NGO_00007_2,PRJ_NGO_00007_2_ITEM_3,Transport,Transport costs for project,trip,110122.38,18,1982202.84
PRJ_NGO_00007_2,PRJ_NGO_00007_2_ITEM_4,Admin,Admin costs for project,lump-sum,92345.82,1,92345.82
PRJ_NGO_00007_2,PRJ_NGO_00007_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,1441831.96,1,1441831.96
PRJ_NGO_00008_2,PRJ_NGO_00008_2_ITEM_1,Materials,Materials costs for project,kit,303.68,4113,1249035.84
PRJ_NGO_00008_2,PRJ_NGO_00008_2_ITEM_2,Staff,Staff costs for project,person-month,130853.97,3,392561.91000000003
PRJ_NGO_00008_2,PRJ_NGO_00008_2_ITEM_3,Transport,Transport costs for project,trip,41760.67,20,835213.3999999999
PRJ_NGO_00008_2,PRJ_NGO_00008_2_ITEM_4,Admin,Admin costs for project,lump-sum,186125.3,1,186125.3
PRJ_NGO_00008_2,PRJ_NGO_00008_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,85577.26,1,85577.26
PRJ_NGO_00008_1,PRJ_NGO_00008_1_ITEM_1,Materials,Materials costs for project,kit,382.75,4902,1876240.5
PRJ_NGO_00008_1,PRJ_NGO_00008_1_ITEM_2,Staff,Staff costs for project,person-month,118297.36,4,473189.44
PRJ_NGO_00008_1,PRJ_NGO_00008_1_ITEM_3,Transport,Transport costs for project,trip,25839.6,24,620150.3999999999
PRJ_NGO_00008_1,PRJ_NGO_00008_1_ITEM_4,Admin,Admin costs for project,lump-sum,312373.5,1,312373.5
PRJ_NGO_00008_1,PRJ_NGO_00008_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,599957.54,1,599957.54
PRJ_NGO_00008_3,PRJ_NGO_00008_3_ITEM_1,Materials,Materials costs for project,kit,63.88,1422,90837.36
PRJ_NGO_00008_3,PRJ_NGO_00008_3_ITEM_2,Staff,Staff costs for project,person-month,4907.86,3,14723.579999999998
PRJ_NGO_00008_3,PRJ_NGO_00008_3_ITEM_3,Transport,Transport costs for project,trip,74004.62,7,518032.33999999997
PRJ_NGO_00008_3,PRJ_NGO_00008_3_ITEM_4,Admin,Admin costs for project,lump-sum,48635.56,1,48635.56
PRJ_NGO_00008_3,PRJ_NGO_00008_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,99867.29,1,99867.29
PRJ_NGO_00009_3,PRJ_NGO_00009_3_ITEM_1,Relief Kits,Relief Kits costs for project,unit,69.24,73080,5060059.199999999
PRJ_NGO_00009_3,PRJ_NGO_00009_3_ITEM_2,Shelter,Shelter costs for project,family,3278.92,870,2852660.4
PRJ_NGO_00009_3,PRJ_NGO_00009_3_ITEM_3,Transport,Transport costs for project,trip,133507.24,17,2269623.08
PRJ_NGO_00009_3,PRJ_NGO_00009_3_ITEM_4,Medical,Medical costs for project,kit,1624.74,3480,5654095.2
PRJ_NGO_00009_3,PRJ_NGO_00009_3_ITEM_5,Staff,Staff costs for project,person-month,46546.6,10,465466.0
PRJ_NGO_00009_2,PRJ_NGO_00009_2_ITEM_1,Relief Kits,Relief Kits costs for project,unit,20.12,49810,1002177.2000000001
PRJ_NGO_00009_2,PRJ_NGO_00009_2_ITEM_2,Shelter,Shelter costs for project,family,1289.8,732,944133.6
PRJ_NGO_00009_2,PRJ_NGO_00009_2_ITEM_3,Transport,Transport costs for project,trip,374228.91,14,5239204.739999999
PRJ_NGO_00009_2,PRJ_NGO_00009_2_ITEM_4,Medical,Medical costs for project,kit,883.59,2930,2588918.7
PRJ_NGO_00009_2,PRJ_NGO_00009_2_ITEM_5,Staff,Staff costs for project,person-month,41351.99,8,330815.92
PRJ_NGO_00009_1,PRJ_NGO_00009_1_ITEM_1,Relief Kits,Relief Kits costs for project,unit,23.85,33720,804222.0
PRJ_NGO_00009_1,PRJ_NGO_00009_1_ITEM_2,Shelter,Shelter costs for project,family,5289.57,421,2226908.9699999997
PRJ_NGO_00009_1,PRJ_NGO_00009_1_ITEM_3,Transport,Transport costs for project,trip,131634.57,8,1053076.56
PRJ_NGO_00009_1,PRJ_NGO_00009_1_ITEM_4,Medical,Medical costs for project,kit,1333.82,1686,2248820.52
PRJ_NGO_00009_1,PRJ_NGO_00009_1_ITEM_5,Staff,Staff costs for project,person-month,54356.76,10,543567.6
PRJ_NGO_00010_1,PRJ_NGO_00010_1_ITEM_1,Materials,Materials costs for project,kit,466.83,2113,986411.7899999999
PRJ_NGO_00010_1,PRJ_NGO_00010_1_ITEM_2,Staff,Staff costs for project,person-month,20426.06,12,245112.72000000003
PRJ_NGO_00010_1,PRJ_NGO_00010_1_ITEM_3,Transport,Transport costs for project,trip,26804.89,10,268048.9
PRJ_NGO_00010_1,PRJ_NGO_00010_1_ITEM_4,Admin,Admin costs for project,lump-sum,4403840.78,1,4403840.78
PRJ_NGO_00010_1,PRJ_NGO_00010_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,1858481.47,1,1858481.47
PRJ_NGO_00011_5,PRJ_NGO_00011_5_ITEM_1,Food,Food costs for project,unit,64.79,27036,1751662.4400000002
PRJ_NGO_00011_5,PRJ_NGO_00011_5_ITEM_2,Transport,Transport costs for project,trip,4878.35,11,53661.850000000006
PRJ_NGO_00011_5,PRJ_NGO_00011_5_ITEM_3,Staff,Staff costs for project,person-month,41683.88,6,250103.27999999997
PRJ_NGO_00011_5,PRJ_NGO_00011_5_ITEM_4,Admin,Admin costs for project,lump-sum,382859.61,1,382859.61
PRJ_NGO_00011_5,PRJ_NGO_00011_5_ITEM_5,Contingency,Contingency costs for project,lump-sum,1431329.56,1,1431329.56
PRJ_NGO_00011_4,PRJ_NGO_00011_4_ITEM_1,Food,Food costs for project,unit,18.53,29883,553731.99
PRJ_NGO_00011_4,PRJ_NGO_00011_4_ITEM_2,Transport,Transport costs for project,trip,172.73,21,3627.33
PRJ_NGO_00011_4,PRJ_NGO_00011_4_ITEM_3,Staff,Staff costs for project,person-month,65644.68,3,196934.03999999998
PRJ_NGO_00011_4,PRJ_NGO_00011_4_ITEM_4,Admin,Admin costs for project,lump-sum,987218.4,1,987218.4
PRJ_NGO_00011_4,PRJ_NGO_00011_4_ITEM_5,Contingency,Contingency costs for project,lump-sum,3318933.87,1,3318933.87
PRJ_NGO_00011_3,PRJ_NGO_00011_3_ITEM_1,Food,Food costs for project,unit,11.96,51630,617494.8
PRJ_NGO_00011_3,PRJ_NGO_00011_3_ITEM_2,Transport,Transport costs for project,trip,53889.03,17,916113.51
PRJ_NGO_00011_3,PRJ_NGO_00011_3_ITEM_3,Staff,Staff costs for project,person-month,194422.34,7,1360956.38
PRJ_NGO_00011_3,PRJ_NGO_00011_3_ITEM_4,Admin,Admin costs for project,lump-sum,915883.09,1,915883.09
PRJ_NGO_00011_3,PRJ_NGO_00011_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,2428979.45,1,2428979.45
PRJ_NGO_00011_2,PRJ_NGO_00011_2_ITEM_1,Food,Food costs for project,unit,85.77,29916,2565895.32
PRJ_NGO_00011_2,PRJ_NGO_00011_2_ITEM_2,Transport,Transport costs for project,trip,15268.18,16,244290.88
PRJ_NGO_00011_2,PRJ_NGO_00011_2_ITEM_3,Staff,Staff costs for project,person-month,229634.24,4,918536.96
PRJ_NGO_00011_2,PRJ_NGO_00011_2_ITEM_4,Admin,Admin costs for project,lump-sum,128856.03,1,128856.03
PRJ_NGO_00011_2,PRJ_NGO_00011_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,203353.54,1,203353.54
PRJ_NGO_00011_1,PRJ_NGO_00011_1_ITEM_1,Food,Food costs for project,unit,25.16,33720,848395.2
PRJ_NGO_00011_1,PRJ_NGO_00011_1_ITEM_2,Transport,Transport costs for project,trip,44762.76,11,492390.36000000004
PRJ_NGO_00011_1,PRJ_NGO_00011_1_ITEM_3,Staff,Staff costs for project,person-month,17418.03,7,121926.20999999999
PRJ_NGO_00011_1,PRJ_NGO_00011_1_ITEM_4,Admin,Admin costs for project,lump-sum,1002707.05,1,1002707.05
PRJ_NGO_00011_1,PRJ_NGO_00011_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,1795223.94,1,1795223.94
PRJ_NGO_00012_5,PRJ_NGO_00012_5_ITEM_1,Materials,Materials costs for project,kit,345.88,629,217558.52
PRJ_NGO_00012_5,PRJ_NGO_00012_5_ITEM_2,Staff,Staff costs for project,person-month,12586.33,5,62931.65
PRJ_NGO_00012_5,PRJ_NGO_00012_5_ITEM_3,Transport,Transport costs for project,trip,42825.37,3,128476.11000000002
PRJ_NGO_00012_5,PRJ_NGO_00012_5_ITEM_4,Admin,Admin costs for project,lump-sum,36926.14,1,36926.14
PRJ_NGO_00012_5,PRJ_NGO_00012_5_ITEM_5,Contingency,Contingency costs for project,lump-sum,43607.15,1,43607.15
PRJ_NGO_00012_4,PRJ_NGO_00012_4_ITEM_1,Materials,Materials costs for project,kit,46.58,1279,59575.82
PRJ_NGO_00012_4,PRJ_NGO_00012_4_ITEM_2,Staff,Staff costs for project,person-month,109115.56,4,436462.24
PRJ_NGO_00012_4,PRJ_NGO_00012_4_ITEM_3,Transport,Transport costs for project,trip,13704.95,6,82229.70000000001
PRJ_NGO_00012_4,PRJ_NGO_00012_4_ITEM_4,Admin,Admin costs for project,lump-sum,135229.73,1,135229.73
PRJ_NGO_00012_4,PRJ_NGO_00012_4_ITEM_5,Contingency,Contingency costs for project,lump-sum,117501.22,1,117501.22
PRJ_NGO_00012_3,PRJ_NGO_00012_3_ITEM_1,Materials,Materials costs for project,kit,245.9,223,54835.700000000004
PRJ_NGO_00012_3,PRJ_NGO_00012_3_ITEM_2,Staff,Staff costs for project,person-month,14526.99,8,116215.92
PRJ_NGO_00012_3,PRJ_NGO_00012_3_ITEM_3,Transport,Transport costs for project,trip,16889.98,1,16889.98
PRJ_NGO_00012_3,PRJ_NGO_00012_3_ITEM_4,Admin,Admin costs for project,lump-sum,52355.13,1,52355.13
PRJ_NGO_00012_3,PRJ_NGO_00012_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,16103.18,1,16103.18
PRJ_NGO_00012_2,PRJ_NGO_00012_2_ITEM_1,Materials,Materials costs for project,kit,950.86,762,724555.3200000001
PRJ_NGO_00012_2,PRJ_NGO_00012_2_ITEM_2,Staff,Staff costs for project,person-month,4366.85,12,52402.200000000004
PRJ_NGO_00012_2,PRJ_NGO_00012_2_ITEM_3,Transport,Transport costs for project,trip,16987.87,3,50963.61
PRJ_NGO_00012_2,PRJ_NGO_00012_2_ITEM_4,Admin,Admin costs for project,lump-sum,262723.92,1,262723.92
PRJ_NGO_00012_2,PRJ_NGO_00012_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,29956.31,1,29956.31
PRJ_NGO_00012_1,PRJ_NGO_00012_1_ITEM_1,Materials,Materials costs for project,kit,97.26,1937,188392.62000000002
PRJ_NGO_00012_1,PRJ_NGO_00012_1_ITEM_2,Staff,Staff costs for project,person-month,45523.56,10,455235.6
PRJ_NGO_00012_1,PRJ_NGO_00012_1_ITEM_3,Transport,Transport costs for project,trip,19650.84,9,176857.56
PRJ_NGO_00012_1,PRJ_NGO_00012_1_ITEM_4,Admin,Admin costs for project,lump-sum,1541523.23,1,1541523.23
PRJ_NGO_00012_1,PRJ_NGO_00012_1_ITEM_5,Contingency,Contingency costs for project,lump-sum,456193.48,1,456193.48
PRJ_NGO_00013_6,PRJ_NGO_00013_6_ITEM_1,Materials,Materials costs for project,kit,229.03,4777,1094076.31
PRJ_NGO_00013_6,PRJ_NGO_00013_6_ITEM_2,Staff,Staff costs for project,person-month,209884.05,6,1259304.2999999998
PRJ_NGO_00013_6,PRJ_NGO_00013_6_ITEM_3,Transport,Transport costs for project,trip,93273.33,23,2145286.59
PRJ_NGO_00013_6,PRJ_NGO_00013_6_ITEM_4,Admin,Admin costs for project,lump-sum,610718.98,1,610718.98
PRJ_NGO_00013_6,PRJ_NGO_00013_6_ITEM_5,Contingency,Contingency costs for project,lump-sum,2385909.26,1,2385909.26
PRJ_NGO_00013_5,PRJ_NGO_00013_5_ITEM_1,Materials,Materials costs for project,kit,899.77,263,236639.51
PRJ_NGO_00013_5,PRJ_NGO_00013_5_ITEM_2,Staff,Staff costs for project,person-month,23678.69,8,189429.52
PRJ_NGO_00013_5,PRJ_NGO_00013_5_ITEM_3,Transport,Transport costs for project,trip,67099.03,1,67099.03
PRJ_NGO_00013_5,PRJ_NGO_00013_5_ITEM_4,Admin,Admin costs for project,lump-sum,22602.0,1,22602.0
PRJ_NGO_00013_5,PRJ_NGO_00013_5_ITEM_5,Contingency,Contingency costs for project,lump-sum,30430.19,1,30430.19
PRJ_NGO_00013_4,PRJ_NGO_00013_4_ITEM_1,Materials,Materials costs for project,kit,337.1,1874,631725.4
PRJ_NGO_00013_4,PRJ_NGO_00013_4_ITEM_2,Staff,Staff costs for project,person-month,121038.64,3,363115.92
PRJ_NGO_00013_4,PRJ_NGO_00013_4_ITEM_3,Transport,Transport costs for project,trip,17235.84,9,155122.56
PRJ_NGO_00013_4,PRJ_NGO_00013_4_ITEM_4,Admin,Admin costs for project,lump-sum,12520.62,1,12520.62
