ngo_id,latest_financial_year,reports_count,total_income,total_expenditure,income_scale,programme_expense_ratio,administrative_expense_ratio,fundraising_expense_ratio,employee_expense_ratio,surplus_margin,year_over_year_income_growth,year_over_year_expense_growth,cash_to_expense_ratio,grant_dependency_ratio,fcra_dependency_ratio,asset_to_income_ratio,financial_missingness_ratio,accounting_reconciliation_error,audit_status,primary_sector,peer_group,peer_group_fallback_level,peer_group_size,peer_median_programme_ratio,peer_median_admin_ratio,financial_anomaly_score,financial_anomaly_label
NGO_00047,FY2025-26,4,181131909.92,170942881.67,Large,0.7138,0.0562,0.0144,0.0482,0.0563,0.2078,0.252,0.3764,0.6094,0.2306,0.6239,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Broad,sector_broad,36,0.7875,0.0759,0.0898,Normal
NGO_00048,FY2025-26,4,3290887.91,2978284.6,Small,0.6973,0.1093,0.0475,0.0426,0.095,-0.0538,-0.1523,0.1656,0.5139,0.0,0.6571,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1103,Normal
NGO_00049,FY2025-26,2,9291382.41,9000972.77,Medium,0.8187,0.1173,0.0471,0.091,0.0313,-0.0009,0.0181,0.4661,0.7221,0.0,1.1181,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.1134,Normal
NGO_00050,FY2025-26,4,4246001.4,4275068.0,Small,0.8586,0.1126,0.0251,0.0801,-0.0068,0.1917,0.1987,0.4134,0.5695,0.0,0.628,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1319,Normal
NGO_00051,FY2025-26,3,21166760.05,20616159.12,Medium,0.8544,0.1333,0.0189,0.097,0.026,0.0036,0.0474,0.2514,0.4405,0.0,1.2242,0.0,0.0,Qualified,Women Empowerment,Women Empowerment_Medium,specific,14,0.8186,0.1006,0.1225,Normal
NGO_00052,FY2025-26,3,27206005.83,27133148.72,Medium,0.7976,0.0533,0.0367,0.0912,0.0027,0.0842,0.1621,0.2992,0.3696,0.0,0.593,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1143,Normal
NGO_00053,FY2025-26,3,5842329.37,5398487.12,Medium,0.7871,0.1278,0.0382,0.0851,0.076,0.1138,0.1649,0.1658,0.5784,0.0,1.1045,0.0,0.0,Clean,Education,Education_Broad,sector_broad,14,0.7772,0.104,0.1358,Normal
NGO_00054,FY2025-26,1,40495041.79,38249044.2,Medium,0.6993,0.1001,0.0221,0.0443,0.0555,,,0.4453,0.5123,0.0,1.5276,0.0,0.0,Clean,Child Welfare,Child Welfare_Broad,sector_broad,13,0.7845,0.0993,0.1522,Normal
NGO_00055,FY2025-26,2,901793.32,841905.72,Small,0.7223,0.1132,0.0227,0.0637,0.0664,-0.11,-0.1441,0.3408,0.6945,0.0,0.2149,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,0.1123,Normal
NGO_00056,FY2025-26,1,1285762.31,1250395.39,Small,0.8308,0.1177,0.0253,0.0648,0.0275,,,0.513,0.5882,0.0,1.0705,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Small,specific,14,0.772,0.1119,0.1382,Normal
NGO_00057,FY2025-26,1,2350619.45,2129350.01,Small,0.7477,0.1187,0.0421,0.0789,0.0941,,,0.2054,0.3846,0.0,0.9747,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Broad,sector_broad,21,0.7797,0.1247,0.1054,Normal
NGO_00058,FY2025-26,2,28192235.13,28593561.3,Medium,0.7446,0.1114,0.0353,0.064,-0.0142,0.0818,0.226,0.1953,0.5769,0.0,1.7157,0.0,0.0,Clean,Education,Education_Broad,sector_broad,14,0.7772,0.104,0.122,Normal
NGO_00059,FY2025-26,1,222790103.14,222485179.11,Large,0.759,0.1333,0.014,0.0424,0.0014,,,0.4562,0.6285,0.0,0.443,0.0,0.0,Clean,Child Welfare,Child Welfare_Broad,sector_broad,13,0.7845,0.0993,0.0749,Normal
NGO_00060,FY2025-26,4,3966490.77,3901671.82,Small,0.7402,0.1225,0.0117,0.0855,0.0163,-0.0738,-0.0158,0.6124,0.464,0.0,1.1736,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Small,specific,14,0.772,0.1119,0.1156,Normal
NGO_00061,FY2025-26,2,11238076.16,10966711.74,Medium,0.8056,0.1051,0.0183,0.0745,0.0241,-0.1226,-0.0372,0.4602,0.4686,0.0,1.2815,0.0,0.0,Clean,Disaster Relief & Rehabilitation,Disaster Relief & Rehabilitation_Broad,sector_broad,11,0.795,0.124,0.1591,Normal
NGO_00062,FY2025-26,4,11906816.01,11759082.7,Medium,0.7761,0.0609,0.0472,0.0415,0.0124,0.0647,0.0963,0.6239,0.4092,0.4426,0.6303,0.0,0.0,Qualified,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.1134,Normal
NGO_00063,FY2025-26,3,229667397.02,222564840.65,Large,0.8048,0.0822,0.0244,0.0432,0.0309,-0.0875,-0.0411,0.6276,0.5827,0.2883,0.7085,0.0,0.0,Clean,Education,Education_Broad,sector_broad,14,0.7772,0.104,0.0795,Normal
NGO_00064,FY2025-26,5,3764072.09,3586264.33,Small,0.7534,0.1185,0.0286,0.0589,0.0472,0.1606,0.201,0.3979,0.5196,0.0,1.6322,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1795,Normal
NGO_00065,FY2025-26,4,26935471.7,26756013.58,Medium,0.6911,0.1031,0.0247,0.0477,0.0067,0.0327,0.0242,0.442,0.6566,0.0,0.3949,0.0,0.0,Clean,Women Empowerment,Women Empowerment_Medium,specific,14,0.8186,0.1006,0.1464,Normal
NGO_00066,FY2025-26,4,1217113.2,1086447.43,Small,0.8421,0.0866,0.0363,0.0618,0.1074,-0.0078,-0.0128,0.6216,0.5906,0.0,0.437,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,0.0873,Normal
NGO_00067,FY2025-26,2,45808015.12,41750696.29,Medium,0.8192,0.1335,0.0298,0.0896,0.0886,0.1536,0.1219,0.2516,0.3556,0.0,1.9155,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.1064,Normal
NGO_00068,FY2025-26,4,2104340.52,1905016.63,Small,0.7182,0.1398,0.0407,0.0402,0.0947,-0.0613,-0.0466,0.6102,0.5753,0.0,1.2667,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,0.111,Normal
NGO_00069,FY2025-26,4,3135055.48,3141288.83,Small,0.8006,0.1061,0.0487,0.0559,-0.002,0.0244,0.0559,0.2436,0.5849,0.0,1.3398,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Small,specific,14,0.772,0.1119,0.1186,Normal
NGO_00070,FY2025-26,5,157636026.03,142056065.04,Large,0.7439,0.0542,0.0207,0.0927,0.0988,-0.0972,-0.0902,0.4951,0.4531,0.0,0.6192,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Broad,sector_broad,36,0.7875,0.0759,0.0883,Normal
NGO_00071,FY2025-26,3,769755.82,741564.94,Small,0.7818,0.1305,0.0313,0.0777,0.0366,0.0461,0.1191,0.3252,0.6722,0.0,0.7624,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Small,specific,14,0.772,0.1119,0.1006,Normal
NGO_00072,FY2025-26,5,27714373.76,27133365.16,Medium,0.8359,0.1136,0.0418,0.0743,0.021,-0.0849,-0.0613,0.4305,0.6444,0.0,0.867,0.0,0.0,Clean,Child Welfare,Child Welfare_Broad,sector_broad,13,0.7845,0.0993,0.1352,Normal
NGO_00073,FY2025-26,4,1280912.09,1161811.24,Small,0.8261,0.1385,0.0248,0.0475,0.093,0.1732,0.1575,0.1547,0.5047,0.0,1.1422,0.0,0.0,Clean,Rural Development,All_NGOs_National,national_broad,200,0.7903,0.1215,0.089,Normal
NGO_00074,FY2025-26,2,28385377.01,25196859.99,Medium,0.8048,0.1204,0.0421,0.0437,0.1123,0.0446,-0.007,0.4554,0.501,0.0,0.5709,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.1416,Normal
NGO_00075,FY2025-26,2,7457328.06,6791514.12,Medium,0.7092,0.0909,0.0117,0.0874,0.0893,-0.0881,-0.0577,0.1518,0.5964,0.0,0.7086,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.0963,Normal
NGO_00076,FY2025-26,5,13509597.39,12596311.49,Medium,0.7101,0.0849,0.04,0.0929,0.0676,0.0095,-0.0021,0.4094,0.6664,0.0,0.9889,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.1563,Normal
NGO_00077,FY2025-26,5,3141297.89,3703648.9,Small,0.621,0.0536,0.0262,0.0372,-0.179,-0.0359,0.1923,0.5974,0.4317,0.0,1.018,0.0,740729.78,Clean,Skill Development & Livelihood,Skill Development & Livelihood_Small,specific,10,0.7362,0.0976,-0.0426,Outlier
NGO_00078,FY2025-26,3,1475025.95,1337702.88,Small,0.6964,0.088,0.0235,0.0994,0.0931,-0.0746,-0.1027,0.4845,0.7215,0.2216,0.2409,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Small,specific,14,0.772,0.1119,0.1077,Normal
NGO_00079,FY2025-26,2,331482357.99,336838359.79,Large,0.7944,0.0745,0.0132,0.0869,-0.0162,0.1414,0.2579,0.3491,0.4641,0.0,0.3743,0.0,0.0,Clean,Disaster Relief & Rehabilitation,Disaster Relief & Rehabilitation_Broad,sector_broad,11,0.795,0.124,0.0356,Borderline
NGO_00080,FY2025-26,3,47491934.97,47688130.04,Medium,0.7568,0.1123,0.0313,0.07,-0.0041,-0.0467,0.0369,0.443,0.7004,0.0,0.4562,0.0,0.0,Qualified,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1238,Normal
NGO_00081,FY2025-26,3,23590696.68,23834110.93,Medium,0.7903,0.0573,0.0473,0.0657,-0.0103,-0.0709,0.0521,0.6434,0.5927,0.0,0.5365,0.0,0.0,Clean,Rural Development,All_NGOs_National,national_broad,200,0.7903,0.1215,0.105,Normal
NGO_00082,FY2025-26,5,3861769.69,3520041.85,Small,0.7075,0.1145,0.0474,0.0909,0.0885,-0.1485,-0.238,0.5179,0.3735,0.0,1.6905,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1061,Normal
NGO_00083,,0,,,Unknown,,,,,,,,,,,,1.0,0.0,No Reports Available,Skill Development & Livelihood,Skill Development & Livelihood_Broad,sector_broad,22,0.7951,0.1086,0.0,Outlier
NGO_00084,FY2025-26,2,117729640.62,106416368.22,Large,0.8358,0.0996,0.0459,0.0764,0.0961,-0.0183,-0.0871,0.6233,0.5616,0.0,0.211,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Broad,sector_broad,36,0.7875,0.0759,0.076,Normal
NGO_00085,FY2025-26,5,32798691.12,32396010.6,Medium,0.8417,0.087,0.0103,0.0948,0.0123,-0.1008,-0.0453,0.2751,0.429,0.0,0.9755,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.0992,Normal
NGO_00086,FY2025-26,3,10415945.63,10488378.94,Medium,0.7791,0.0727,0.0441,0.0926,-0.007,0.0062,0.1007,0.6376,0.3675,0.0,1.2284,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.086,Normal
NGO_00087,FY2025-26,5,1299804.21,1283968.0,Small,0.6824,0.1247,0.0153,0.0961,0.0122,0.1651,0.2215,0.2838,0.5036,0.0,0.9036,0.0,0.0,Clean,Women Empowerment,Women Empowerment_Broad,sector_broad,21,0.801,0.1103,0.107,Normal
NGO_00088,FY2025-26,3,1320910.3,1337757.02,Small,0.316,0.426,0.0712,0.0698,-0.0128,0.0895,0.1088,0.3771,0.374,0.3313,1.4485,0.0,0.0,Adverse,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,-0.1249,Outlier
NGO_00089,FY2025-26,5,4034083.36,4055540.16,Small,0.8179,0.0779,0.0419,0.0921,-0.0053,0.0517,0.0545,0.3995,0.389,0.0,0.7357,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Small,specific,14,0.772,0.1119,0.1295,Normal
NGO_00090,FY2025-26,3,49470737.28,46098608.9,Medium,0.7178,0.0672,0.0482,0.0808,0.0682,-0.0509,-0.0128,0.3319,0.5904,0.0,1.6416,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.1407,Normal
NGO_00091,FY2025-26,3,3684091.61,3376348.98,Small,0.8313,0.1154,0.0251,0.0884,0.0835,0.1665,0.1488,0.1759,0.611,0.2081,1.5334,0.0,0.0,Clean,Women Empowerment,Women Empowerment_Broad,sector_broad,21,0.801,0.1103,0.1392,Normal
NGO_00092,FY2025-26,5,549054.61,486764.84,Small,0.8264,0.0678,0.0298,0.043,0.1134,-0.0268,-0.1353,0.2872,0.6229,0.0,0.6709,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,0.066,Borderline
NGO_00093,FY2025-26,2,1177790.21,1184042.14,Small,0.689,0.0724,0.0146,0.0467,-0.0053,-0.0721,-0.0577,0.4376,0.5574,0.0,0.9511,0.0,0.0,Clean,Child Welfare,Child Welfare_Broad,sector_broad,13,0.7845,0.0993,0.1087,Normal
NGO_00094,FY2025-26,4,10074248.03,9749503.02,Medium,0.8457,0.084,0.021,0.0465,0.0322,0.0575,0.0462,0.4225,0.4325,0.0,1.4042,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.1461,Normal
NGO_00095,FY2025-26,1,48087128.92,42684875.91,Medium,0.8253,0.1287,0.0122,0.0676,0.1123,,,0.5649,0.5112,0.0,0.8997,0.0,0.0,Clean,Women Empowerment,Women Empowerment_Medium,specific,14,0.8186,0.1006,0.0975,Normal
NGO_00096,FY2025-26,5,3503909.88,3301478.89,Small,0.7845,0.0531,0.0363,0.079,0.0578,-0.1478,-0.0966,0.6041,0.3981,0.0,1.6841,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,0.1158,Normal
