ngo_id,profile_source,pan_provided,pan_verified,year_established,beneficiaries_reported,primary_sector,transparency_seal_status,tax_exemption_type,tax_exemption_status,section_80g_status,fcra_status,reported_expenditure,reported_assets,profile_publication_date,source_url,verification_status
NGO_00011,https://ngodarpan.gov.in,True,True,2004.0,138417.0,Nutrition & Food Security,Not Found,12AB,Valid,Valid,Not Applicable,237885807.05,385601047.55,2026-07-13,https://eleos.org/registry/NGO_00011,Externally verified
NGO_00012,NGO Website,True,True,2021.0,24071.0,Environment & Forests,Not Found,12AB,Valid,Valid,Not Applicable,30514716.79,10361775.67,2026-07-08,https://eleos.org/registry/NGO_00012,Externally verified
NGO_00013,https://ngodarpan.gov.in,True,True,2012.0,1344.0,Education,,,Expired,Not Found,Not Applicable,3282482.31,3607946.4,2026-05-14,https://eleos.org/registry/NGO_00013,Self-reported
NGO_00014,https://ngodarpan.gov.in,True,True,2022.0,1580.0,Water & Sanitation,Expired,12AB,Valid,Valid,Not Applicable,2945187.65,,2026-06-15,https://eleos.org/registry/NGO_00014,Externally verified
NGO_00015,https://ngodarpan.gov.in,True,True,2000.0,,Healthcare & Medical,Expired,12AB,Valid,Not Found,Expired,37733431.81,68720131.54,2026-06-09,https://eleos.org/registry/NGO_00015,Externally verified
NGO_00016,https://ngodarpan.gov.in,True,True,2013.0,277.0,Skill Development & Livelihood,Expired,,Expired,Not Found,Not Applicable,,1166031.42,2026-04-15,https://eleos.org/registry/NGO_00016,Self-reported
NGO_00017,NGO Website,True,True,2023.0,28191.0,Environment & Forests,Expired,12AB,Valid,Valid,Not Applicable,35147524.56,,2026-05-22,https://eleos.org/registry/NGO_00017,Externally verified
NGO_00018,https://ngodarpan.gov.in,True,True,,158694.0,Water & Sanitation,Not Found,,Not Found,Not Found,Valid,284533260.04,175380514.74,2026-01-12,https://eleos.org/registry/NGO_00018,Self-reported
NGO_00019,https://ngodarpan.gov.in,True,True,2020.0,,Environment & Forests,,,Expired,Not Found,Not Applicable,,6097884.56,2026-03-22,https://eleos.org/registry/NGO_00019,Self-reported
NGO_00020,https://ngodarpan.gov.in,True,True,2021.0,20411.0,Nutrition & Food Security,Not Found,,Not Found,Not Found,Not Applicable,40625584.83,39837302.72,2025-12-02,https://eleos.org/registry/NGO_00020,Self-reported
NGO_00021,https://ngodarpan.gov.in,True,True,2021.0,6339.0,Skill Development & Livelihood,,12AB,Valid,Valid,Not Applicable,11668436.7,19439540.73,2026-01-11,https://eleos.org/registry/NGO_00021,Externally verified
NGO_00022,https://ngodarpan.gov.in,True,True,2020.0,5809.0,Skill Development & Livelihood,Valid,12AB,Valid,Valid,Not Applicable,11209410.35,,2026-02-20,https://eleos.org/registry/NGO_00022,Externally verified
NGO_00023,https://ngodarpan.gov.in,True,True,2020.0,2795.0,Water & Sanitation,Not Found,12AB,Valid,Valid,Not Applicable,4272217.96,2302060.34,2026-02-22,https://eleos.org/registry/NGO_00023,Externally verified
NGO_00024,https://ngodarpan.gov.in,True,True,2010.0,12935.0,Skill Development & Livelihood,Expired,12AB,Valid,Valid,Expired,22095645.46,36354620.52,2026-02-19,https://eleos.org/registry/NGO_00024,Externally verified
NGO_00025,https://ngodarpan.gov.in,True,True,2003.0,13814.0,Healthcare & Medical,Expired,12AB,Valid,Not Found,Valid,32191478.24,43839989.98,2026-05-30,https://eleos.org/registry/NGO_00025,Externally verified
NGO_00026,https://ngodarpan.gov.in,True,True,2009.0,1320.0,Water & Sanitation,,12AB,Valid,Valid,Not Applicable,3226551.17,5304777.19,2026-06-29,https://eleos.org/registry/NGO_00026,Externally verified
NGO_00027,https://ngodarpan.gov.in,True,True,2014.0,6648.0,Nutrition & Food Security,Expired,,Expired,Not Found,Expired,8514008.91,7600478.27,2026-05-15,https://eleos.org/registry/NGO_00027,Self-reported
NGO_00028,https://ngodarpan.gov.in,True,True,2014.0,21915.0,Nutrition & Food Security,Not Found,12AB,Valid,Expired,Expired,31842327.41,10006289.83,2026-07-04,https://eleos.org/registry/NGO_00028,Externally verified
NGO_00029,NGO Website,True,True,2024.0,111859.0,Disaster Relief & Rehabilitation,Valid,12AB,Valid,Valid,Not Applicable,114684308.7,,2026-04-27,https://eleos.org/registry/NGO_00029,Externally verified
NGO_00030,NGO Website,True,False,2012.0,16258.0,Women Empowerment,Valid,12AB,Valid,Valid,Not Applicable,20598436.95,,2026-01-03,https://eleos.org/registry/NGO_00030,Self-reported
NGO_00031,NGO Website,True,True,2003.0,48086.0,Healthcare & Medical,Expired,12AB,Valid,Valid,Not Applicable,73009264.03,,2026-03-16,https://eleos.org/registry/NGO_00031,Externally verified
NGO_00032,NGO Website,True,True,2025.0,3683.0,Nutrition & Food Security,Valid,,Not Found,Not Found,Not Applicable,,4163558.77,2025-12-01,https://eleos.org/registry/NGO_00032,Self-reported
NGO_00033,https://ngodarpan.gov.in,True,True,2023.0,510.0,Skill Development & Livelihood,Valid,12AB,Valid,Not Found,Not Applicable,689509.36,564989.62,2026-01-02,https://eleos.org/registry/NGO_00033,Externally verified
NGO_00034,NGO Website,True,True,1999.0,20153.0,Nutrition & Food Security,Expired,12AB,Valid,Valid,Not Found,24933355.64,45027598.32,2026-05-31,https://eleos.org/registry/NGO_00034,Externally verified
NGO_00035,NGO Website,True,True,2021.0,14282.0,Nutrition & Food Security,,12AB,Valid,Valid,Not Applicable,30440275.6,8779906.76,2026-06-15,https://eleos.org/registry/NGO_00035,Externally verified
NGO_00036,https://ngodarpan.gov.in,False,False,2013.0,8962.0,Nutrition & Food Security,,12AB,Valid,Valid,Not Applicable,13567097.64,26075438.29,2026-02-16,https://eleos.org/registry/NGO_00036,Self-reported
NGO_00037,NGO Website,True,True,2025.0,22750.0,Healthcare & Medical,Not Found,,Not Found,Not Found,Not Applicable,47993686.73,22460799.33,2026-04-14,https://eleos.org/registry/NGO_00037,Self-reported
NGO_00038,https://ngodarpan.gov.in,True,True,2025.0,20727.0,Environment & Forests,Not Found,,Not Found,Expired,Not Applicable,28265227.67,16925940.48,2026-03-25,https://eleos.org/registry/NGO_00038,Self-reported
NGO_00039,https://ngodarpan.gov.in,True,True,2025.0,24692.0,Environment & Forests,Expired,,Not Found,Not Found,Not Applicable,30676042.98,34259161.77,2026-02-07,https://eleos.org/registry/NGO_00039,Self-reported
NGO_00040,https://ngodarpan.gov.in,True,True,2025.0,,Water & Sanitation,,,Not Found,Expired,Not Applicable,216831037.19,44757898.78,2026-01-22,https://eleos.org/registry/NGO_00040,Self-reported
NGO_00041,NGO Website,True,True,2015.0,3563.0,Child Welfare,,12AB,Valid,Valid,Not Applicable,4743666.82,,2026-06-13,https://eleos.org/registry/NGO_00041,Externally verified
NGO_00042,https://ngodarpan.gov.in,True,True,2020.0,22782.0,Skill Development & Livelihood,Expired,12AB,Valid,Valid,Not Applicable,38424857.46,25289558.87,2026-06-09,https://eleos.org/registry/NGO_00042,Externally verified
NGO_00043,https://ngodarpan.gov.in,True,True,2023.0,3909.0,Education,Valid,12AB,Valid,Valid,Not Applicable,3663741.0,6007879.28,2026-01-30,https://eleos.org/registry/NGO_00043,Externally verified
NGO_00044,NGO Website,True,True,2019.0,17561.0,Environment & Forests,Expired,12AB,Valid,Valid,Not Applicable,,33345338.14,2026-03-12,https://eleos.org/registry/NGO_00044,Externally verified
NGO_00045,https://ngodarpan.gov.in,True,True,2025.0,1878.0,Disaster Relief & Rehabilitation,Not Found,,Expired,Expired,Not Applicable,3756320.33,,2026-07-09,https://eleos.org/registry/NGO_00045,Self-reported
NGO_00046,NGO Website,True,True,1997.0,9745.0,Nutrition & Food Security,Not Found,12AB,Valid,Not Found,Not Applicable,20378622.12,7973145.99,2026-05-17,https://eleos.org/registry/NGO_00046,Externally verified
NGO_00047,https://ngodarpan.gov.in,True,True,2019.0,95423.0,Nutrition & Food Security,Valid,12AB,Valid,Not Found,Valid,181658579.71,108649039.73,2026-04-15,https://eleos.org/registry/NGO_00047,Externally verified
NGO_00048,https://ngodarpan.gov.in,True,True,2015.0,,Water & Sanitation,Expired,12AB,Valid,Valid,Not Applicable,3124730.43,2346766.89,2026-04-10,https://eleos.org/registry/NGO_00048,Externally verified
NGO_00049,https://ngodarpan.gov.in,True,True,2023.0,,Environment & Forests,Valid,12AB,Valid,Valid,Not Applicable,8519063.46,11406169.77,2026-01-22,https://eleos.org/registry/NGO_00049,Externally verified
NGO_00050,https://ngodarpan.gov.in,True,True,2020.0,1959.0,Water & Sanitation,Not Found,12AB,Valid,Valid,Not Applicable,4065975.58,2803618.34,2025-12-08,https://eleos.org/registry/NGO_00050,Externally verified
NGO_00051,https://ngodarpan.gov.in,True,True,2021.0,12797.0,Women Empowerment,Not Found,12AB,Valid,Valid,Not Applicable,19632001.83,27538506.34,2026-06-10,https://eleos.org/registry/NGO_00051,Externally verified
NGO_00052,https://ngodarpan.gov.in,True,False,2012.0,17313.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,26103300.76,14881634.86,2025-11-20,https://eleos.org/registry/NGO_00052,Self-reported
NGO_00053,https://ngodarpan.gov.in,True,False,2021.0,2478.0,Education,Expired,12AB,Valid,Valid,Not Applicable,5002404.74,6565821.4,2025-12-02,https://eleos.org/registry/NGO_00053,Self-reported
NGO_00054,https://ngodarpan.gov.in,True,True,2024.0,47560.0,Child Welfare,,12AB,Valid,Valid,Not Applicable,36706790.31,65271780.21,2026-06-28,https://eleos.org/registry/NGO_00054,Externally verified
NGO_00055,NGO Website,True,True,2022.0,606.0,Nutrition & Food Security,Not Found,12AB,Valid,Valid,Not Applicable,941093.39,,2026-03-02,https://eleos.org/registry/NGO_00055,Externally verified
NGO_00056,https://ngodarpan.gov.in,True,True,2025.0,824.0,Environment & Forests,Expired,12AB,Valid,Not Found,Not Applicable,1314567.1,1474553.62,2026-07-20,https://eleos.org/registry/NGO_00056,Externally verified
NGO_00057,https://ngodarpan.gov.in,False,False,2023.0,1681.0,Healthcare & Medical,Valid,,Expired,Expired,Not Applicable,2306712.47,2445638.12,2026-07-01,https://eleos.org/registry/NGO_00057,Self-reported
NGO_00058,https://ngodarpan.gov.in,True,True,2019.0,18291.0,Education,Valid,12AB,Valid,Valid,Not Applicable,23982048.24,48035557.39,2025-12-29,https://eleos.org/registry/NGO_00058,Externally verified
NGO_00059,https://ngodarpan.gov.in,True,True,2023.0,103706.0,Child Welfare,Not Found,12AB,Valid,Valid,Not Applicable,,93511031.24,2026-02-01,https://eleos.org/registry/NGO_00059,Externally verified
NGO_00060,https://ngodarpan.gov.in,True,True,2014.0,3512.0,Environment & Forests,,12AB,Valid,Valid,Not Applicable,3498254.15,4977642.3,2026-08-05,https://eleos.org/registry/NGO_00060,Externally verified
NGO_00061,https://ngodarpan.gov.in,True,True,2017.0,4925.0,Disaster Relief & Rehabilitation,Valid,12AB,Valid,Valid,Not Applicable,9711267.97,14890628.74,2026-03-15,https://eleos.org/registry/NGO_00061,Externally verified
NGO_00062,https://ngodarpan.gov.in,True,True,2014.0,,Water & Sanitation,Not Found,12AB,Valid,Valid,Valid,10609343.04,6913675.08,2026-03-23,https://eleos.org/registry/NGO_00062,Externally verified
NGO_00063,https://ngodarpan.gov.in,True,True,2006.0,149007.0,Education,Valid,12AB,Valid,Valid,Valid,228884565.16,,2026-04-22,https://eleos.org/registry/NGO_00063,Externally verified
NGO_00064,https://ngodarpan.gov.in,True,True,2005.0,1675.0,Water & Sanitation,Expired,12AB,Valid,Valid,Not Applicable,3920467.58,,2026-03-04,https://eleos.org/registry/NGO_00064,Externally verified
NGO_00065,https://ngodarpan.gov.in,True,True,1997.0,14013.0,Women Empowerment,,,Not Found,Expired,Not Applicable,,10101103.26,2026-02-20,https://eleos.org/registry/NGO_00065,Self-reported
NGO_00066,https://ngodarpan.gov.in,True,True,2012.0,561.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,1152811.15,,2026-07-21,https://eleos.org/registry/NGO_00066,Externally verified
NGO_00067,NGO Website,True,True,2022.0,22994.0,Healthcare & Medical,,12AB,Valid,Valid,Not Applicable,40304193.11,80558163.88,2026-06-06,https://eleos.org/registry/NGO_00067,Externally verified
NGO_00068,https://ngodarpan.gov.in,True,True,2021.0,1284.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,1874434.46,2808130.11,2026-06-07,https://eleos.org/registry/NGO_00068,Externally verified
NGO_00069,https://ngodarpan.gov.in,True,True,2003.0,,Environment & Forests,Expired,12AB,Valid,Valid,Not Found,2693174.88,4482611.54,2026-04-02,https://eleos.org/registry/NGO_00069,Externally verified
NGO_00070,https://ngodarpan.gov.in,True,True,2000.0,143695.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,137583755.42,97307586.06,2026-05-10,https://eleos.org/registry/NGO_00070,Externally verified
NGO_00071,NGO Website,True,True,2013.0,548.0,Environment & Forests,Valid,12AB,Valid,Valid,Not Applicable,742419.52,,2026-03-12,https://eleos.org/registry/NGO_00071,Externally verified
NGO_00072,https://ngodarpan.gov.in,True,True,2016.0,17726.0,Child Welfare,,12AB,Valid,Valid,Not Applicable,28547159.75,25982166.18,2026-08-09,https://eleos.org/registry/NGO_00072,Externally verified
NGO_00073,https://ngodarpan.gov.in,True,True,2007.0,785.0,Rural Development,Valid,,Not Found,Not Found,Not Applicable,1202821.74,,2026-02-21,https://eleos.org/registry/NGO_00073,Self-reported
NGO_00074,https://ngodarpan.gov.in,True,True,2008.0,,Healthcare & Medical,Valid,12AB,Valid,Valid,Not Applicable,27414225.09,,2026-08-01,https://eleos.org/registry/NGO_00074,Externally verified
NGO_00075,https://ngodarpan.gov.in,True,True,2024.0,3947.0,Environment & Forests,Expired,12AB,Valid,Valid,Not Applicable,7374971.68,5593784.77,2026-03-16,https://eleos.org/registry/NGO_00075,Externally verified
NGO_00076,NGO Website,True,True,2021.0,9955.0,Water & Sanitation,Expired,12AB,Valid,Not Found,Not Applicable,13876610.7,14276258.23,2026-07-22,https://eleos.org/registry/NGO_00076,Externally verified
NGO_00077,NGO Website,True,True,2014.0,,Skill Development & Livelihood,Not Found,12AB,Valid,Valid,Not Applicable,3172174.2,3480947.22,2026-02-13,https://eleos.org/registry/NGO_00077,Externally verified
NGO_00078,https://ngodarpan.gov.in,True,True,2018.0,1263.0,Environment & Forests,Valid,12AB,Valid,Not Found,Valid,1269234.83,,2026-02-20,https://eleos.org/registry/NGO_00078,Externally verified
NGO_00079,https://ngodarpan.gov.in,True,True,2024.0,191272.0,Disaster Relief & Rehabilitation,Valid,,Not Found,Not Found,Not Applicable,294855961.46,132890481.55,2026-04-27,https://eleos.org/registry/NGO_00079,Self-reported
NGO_00080,https://ngodarpan.gov.in,True,False,1996.0,26633.0,Nutrition & Food Security,Valid,,Not Found,Not Found,Not Applicable,44145339.04,20696406.99,2026-07-22,https://eleos.org/registry/NGO_00080,Self-reported
NGO_00081,https://ngodarpan.gov.in,True,True,,9716.0,Rural Development,Not Found,12AB,Valid,Valid,Expired,24626788.64,11811765.02,2026-01-17,https://eleos.org/registry/NGO_00081,Externally verified
NGO_00082,https://ngodarpan.gov.in,True,True,2011.0,4498.0,Water & Sanitation,Valid,,Expired,Not Found,Not Applicable,3769919.1,6018969.5,2026-04-05,https://eleos.org/registry/NGO_00082,Self-reported
NGO_00083,https://ngodarpan.gov.in,True,False,2025.0,1106.0,Skill Development & Livelihood,Not Found,,Expired,Not Found,Not Applicable,,1785579.71,2026-02-18,https://eleos.org/registry/NGO_00083,Self-reported
NGO_00084,https://ngodarpan.gov.in,True,True,2015.0,48113.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,117219339.49,25403858.7,2025-12-25,https://eleos.org/registry/NGO_00084,Externally verified
NGO_00085,https://ngodarpan.gov.in,True,True,2005.0,17763.0,Healthcare & Medical,Valid,12AB,Valid,Not Found,Not Applicable,30516348.86,,2026-01-24,https://eleos.org/registry/NGO_00085,Externally verified
NGO_00086,NGO Website,True,True,2021.0,5446.0,Healthcare & Medical,Valid,12AB,Valid,Expired,Not Applicable,9567875.11,11858536.7,2026-05-21,https://eleos.org/registry/NGO_00086,Externally verified
NGO_00087,NGO Website,True,True,2013.0,1415.0,Women Empowerment,,12AB,Valid,Expired,Not Applicable,1293763.92,1079767.81,2026-07-12,https://eleos.org/registry/NGO_00087,Externally verified
NGO_00088,https://ngodarpan.gov.in,True,True,2010.0,664.0,Nutrition & Food Security,Not Found,12AB,Valid,Valid,Valid,1293130.8,,2026-07-07,https://eleos.org/registry/NGO_00088,Externally verified
NGO_00089,https://ngodarpan.gov.in,True,True,2017.0,1788.0,Environment & Forests,,12AB,Valid,Valid,Not Applicable,4233374.74,2995037.15,2026-06-15,https://eleos.org/registry/NGO_00089,Externally verified
NGO_00090,https://ngodarpan.gov.in,True,True,2015.0,26338.0,Water & Sanitation,Valid,12AB,Valid,Valid,Not Applicable,51736813.55,84561221.32,2025-11-26,https://eleos.org/registry/NGO_00090,Externally verified
NGO_00091,https://ngodarpan.gov.in,True,True,2017.0,,Women Empowerment,Expired,12AB,Valid,Valid,Valid,3598961.94,6163304.86,2026-05-29,https://eleos.org/registry/NGO_00091,Externally verified
NGO_00092,https://ngodarpan.gov.in,True,True,2017.0,255.0,Nutrition & Food Security,,,Expired,Expired,Expired,528295.81,398718.53,2026-07-25,https://eleos.org/registry/NGO_00092,Self-reported
NGO_00093,https://ngodarpan.gov.in,True,True,2023.0,1322.0,Child Welfare,,12AB,Valid,Not Found,Not Applicable,1070377.13,1181917.93,2026-04-13,https://eleos.org/registry/NGO_00093,Externally verified
NGO_00094,https://ngodarpan.gov.in,True,True,2019.0,12061.0,Environment & Forests,Expired,12AB,Valid,Valid,Not Applicable,8625379.1,13068865.12,2026-01-24,https://eleos.org/registry/NGO_00094,Externally verified
NGO_00095,https://ngodarpan.gov.in,True,True,2024.0,26051.0,Women Empowerment,Not Found,12AB,Valid,Expired,Not Applicable,46313431.33,42002654.63,2026-02-12,https://eleos.org/registry/NGO_00095,Externally verified
NGO_00096,https://ngodarpan.gov.in,True,True,2020.0,1810.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,3548405.05,,2026-04-09,https://eleos.org/registry/NGO_00096,Externally verified
NGO_00097,https://ngodarpan.gov.in,True,True,2014.0,227209.0,Nutrition & Food Security,Not Found,12AB,Valid,Valid,Valid,,89072625.73,2026-04-06,https://eleos.org/registry/NGO_00097,Externally verified
NGO_00098,https://ngodarpan.gov.in,True,True,2022.0,,Disaster Relief & Rehabilitation,,,Expired,Not Found,Not Applicable,1994525.63,3395538.28,2026-01-24,https://eleos.org/registry/NGO_00098,Self-reported
NGO_00099,https://ngodarpan.gov.in,True,True,2024.0,3328.0,Environment & Forests,Valid,,Not Found,Not Found,Not Applicable,2856972.26,4681605.64,2026-01-04,https://eleos.org/registry/NGO_00099,Self-reported
NGO_00100,https://ngodarpan.gov.in,True,True,2025.0,,Women Empowerment,,,Not Found,Not Found,Not Applicable,1836261.45,,2026-07-02,https://eleos.org/registry/NGO_00100,Self-reported
NGO_00101,https://ngodarpan.gov.in,True,True,2010.0,12263.0,Women Empowerment,Not Found,12AB,Valid,Valid,Not Applicable,18974238.64,19903059.35,2025-12-07,https://eleos.org/registry/NGO_00101,Externally verified
NGO_00102,https://ngodarpan.gov.in,True,True,2022.0,2851.0,Child Welfare,Expired,12AB,Valid,Valid,Not Applicable,3799163.45,,2026-03-17,https://eleos.org/registry/NGO_00102,Externally verified
NGO_00103,https://ngodarpan.gov.in,True,True,2025.0,3649.0,Healthcare & Medical,,12AB,Valid,Not Found,Not Applicable,8716287.97,9617270.69,2026-05-05,https://eleos.org/registry/NGO_00103,Externally verified
NGO_00104,https://ngodarpan.gov.in,True,True,2015.0,1613.0,Women Empowerment,Valid,12AB,Valid,Valid,Not Found,1197039.16,,2026-01-05,https://eleos.org/registry/NGO_00104,Externally verified
NGO_00105,https://ngodarpan.gov.in,True,True,1998.0,1927.0,Skill Development & Livelihood,Not Found,12AB,Valid,Valid,Not Applicable,2254266.59,3697623.0,2025-12-18,https://eleos.org/registry/NGO_00105,Externally verified
NGO_00106,https://ngodarpan.gov.in,True,True,2025.0,,Skill Development & Livelihood,Valid,,Not Found,Not Found,Not Applicable,23895167.82,,2026-04-28,https://eleos.org/registry/NGO_00106,Self-reported
NGO_00107,https://ngodarpan.gov.in,True,True,2011.0,8376.0,Environment & Forests,Not Found,12AB,Valid,Valid,Not Applicable,16635262.12,21527728.69,2026-03-14,https://eleos.org/registry/NGO_00107,Externally verified
NGO_00108,https://ngodarpan.gov.in,True,True,2023.0,79578.0,Women Empowerment,Valid,12AB,Valid,Not Found,Not Applicable,178530428.12,,2026-06-28,https://eleos.org/registry/NGO_00108,Externally verified
NGO_00109,https://ngodarpan.gov.in,True,True,2014.0,21233.0,Rural Development,Expired,12AB,Valid,Valid,Not Applicable,29321976.09,28219308.96,2026-06-06,https://eleos.org/registry/NGO_00109,Externally verified
NGO_00110,NGO Website,True,True,2022.0,3783.0,Disaster Relief & Rehabilitation,,12AB,Valid,Valid,Not Applicable,6727633.73,,2026-04-20,https://eleos.org/registry/NGO_00110,Externally verified
NGO_00111,https://ngodarpan.gov.in,True,True,2016.0,178588.0,Healthcare & Medical,Valid,12AB,Valid,Valid,Expired,262663971.27,469053781.91,2026-07-29,https://eleos.org/registry/NGO_00111,Externally verified
NGO_00112,https://ngodarpan.gov.in,True,True,2021.0,1374.0,Nutrition & Food Security,,,Expired,Not Found,Not Applicable,1837362.36,2913756.21,2026-04-14,https://eleos.org/registry/NGO_00112,Self-reported
NGO_00113,https://ngodarpan.gov.in,True,True,2010.0,6204.0,Women Empowerment,Expired,12AB,Valid,Valid,Not Applicable,11749928.36,4307108.57,2026-03-12,https://eleos.org/registry/NGO_00113,Externally verified
NGO_00114,NGO Website,True,True,,1247.0,Water & Sanitation,Valid,12AB,Valid,Not Found,Valid,,1846425.26,2026-02-05,https://eleos.org/registry/NGO_00114,Externally verified
NGO_00115,NGO Website,True,True,2010.0,13829.0,Disaster Relief & Rehabilitation,,12AB,Valid,Valid,Not Applicable,32469554.4,,2026-03-10,https://eleos.org/registry/NGO_00115,Externally verified
NGO_00116,NGO Website,True,True,2023.0,,Healthcare & Medical,Not Found,12AB,Valid,Valid,Not Applicable,35769315.44,32620858.21,2026-04-26,https://eleos.org/registry/NGO_00116,Externally verified
NGO_00117,https://ngodarpan.gov.in,True,True,2005.0,853.0,Education,Valid,12AB,Valid,Valid,Not Applicable,1901024.84,2210557.4,2026-05-29,https://eleos.org/registry/NGO_00117,Externally verified
NGO_00118,NGO Website,True,True,2020.0,69887.0,Education,Not Found,12AB,Valid,Valid,Not Applicable,93729198.83,,2026-07-31,https://eleos.org/registry/NGO_00118,Externally verified
NGO_00119,https://ngodarpan.gov.in,True,True,2022.0,3821.0,Women Empowerment,Not Found,12AB,Valid,Valid,Not Applicable,6576932.32,,2026-03-30,https://eleos.org/registry/NGO_00119,Externally verified
NGO_00120,https://ngodarpan.gov.in,True,True,2011.0,1538.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Not Applicable,1536701.61,1679371.26,2026-06-07,https://eleos.org/registry/NGO_00120,Externally verified
NGO_00121,NGO Website,True,True,,17816.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Expired,33061102.38,60998727.26,2026-03-03,https://eleos.org/registry/NGO_00121,Externally verified
NGO_00122,https://ngodarpan.gov.in,True,True,2023.0,,Environment & Forests,Valid,12AB,Valid,Valid,Not Applicable,,,2026-07-09,https://eleos.org/registry/NGO_00122,Externally verified
NGO_00123,https://ngodarpan.gov.in,True,True,2019.0,1246.0,Education,,12AB,Valid,Valid,Not Applicable,1217044.78,958319.1,2026-03-09,https://eleos.org/registry/NGO_00123,Externally verified
NGO_00124,NGO Website,True,True,2019.0,209892.0,Women Empowerment,Not Found,12AB,Valid,Valid,Not Applicable,275874482.01,311211577.58,2026-05-03,https://eleos.org/registry/NGO_00124,Externally verified
NGO_00125,NGO Website,True,True,2011.0,1024.0,Nutrition & Food Security,Valid,,Expired,Not Found,Not Applicable,1043714.74,1726910.01,2026-05-05,https://eleos.org/registry/NGO_00125,Self-reported
NGO_00126,https://ngodarpan.gov.in,True,True,,5317.0,Environment & Forests,,,Not Found,Not Found,Not Applicable,7575864.41,,2026-07-31,https://eleos.org/registry/NGO_00126,Self-reported
NGO_00127,https://ngodarpan.gov.in,True,False,2025.0,,Child Welfare,,,Not Found,Not Found,Not Applicable,6209234.86,4566057.28,2025-12-24,https://eleos.org/registry/NGO_00127,Self-reported
NGO_00128,https://ngodarpan.gov.in,True,False,2023.0,1015.0,Environment & Forests,Valid,,Not Found,Not Found,Not Applicable,1577769.39,,2026-04-06,https://eleos.org/registry/NGO_00128,Self-reported
NGO_00129,https://ngodarpan.gov.in,True,True,2011.0,1277.0,Nutrition & Food Security,Not Found,,Not Found,Not Found,Not Found,1766367.25,2187521.69,2026-06-23,https://eleos.org/registry/NGO_00129,Self-reported
NGO_00130,https://ngodarpan.gov.in,True,True,2024.0,4085.0,Healthcare & Medical,,12AB,Valid,Valid,Not Applicable,,3681619.27,2026-05-19,https://eleos.org/registry/NGO_00130,Externally verified
NGO_00131,https://ngodarpan.gov.in,True,True,2024.0,34288.0,Women Empowerment,Expired,12AB,Valid,Valid,Not Applicable,44742949.21,,2026-07-24,https://eleos.org/registry/NGO_00131,Externally verified
