as_on_date,unique_id,ngo_name,ngo_email,state_of_registration,registered_district,registered_subdistrict,type_of_ngo,registration_authority,registration_number,act_name,date_of_registration,sectors,operational_district,operational_state,source_url
2026-09-16,DARPAN_442722,Sankalp Sansthan Gramin,contact@sankalpsanst.org,Kerala,Kozhikode,Kozhikode Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/581/1996/9837,"Indian Trusts Act, 1882",2024-04-21,Education,Kozhikode,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_442722
2026-09-16,DARPAN_442722,Sankalp Sansthan Gramin (Thiruvananthapuram),contact@sankalpsanst.org,Kerala,Kozhikode,Kozhikode Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/581/1996/9837,"Indian Trusts Act, 1882",2024-04-21,Education,Thiruvananthapuram,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_442722
2026-09-16,DARPAN_442722,Sankalp Sansthan Gramin (Central Delhi),contact@sankalpsanst.org,Kerala,Kozhikode,Kozhikode Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/581/1996/9837,"Indian Trusts Act, 1882",2024-04-21,Education,Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_442722
2026-09-16,DARPAN_971084,Seva Association Seva,contact@sevaassociat.org,Delhi,North Delhi,North Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/724/2019/6511,"Companies Act, 2013",2024-03-16,Environment & Forests,North Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_971084
2026-09-16,DARPAN_971084,Seva Association Seva (South Delhi),contact@sevaassociat.org,Delhi,North Delhi,North Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/724/2019/6511,"Companies Act, 2013",2024-03-16,Environment & Forests,South Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_971084
2026-09-16,DARPAN_971084,Seva Association Seva (New Delhi),contact@sevaassociat.org,Delhi,North Delhi,North Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/724/2019/6511,"Companies Act, 2013",2024-03-16,Environment & Forests,New Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_971084
2026-09-16,DARPAN_224205,Kalyan Sansthan National,contact@kalyansansth.org,Gujarat,Rajkot,Rajkot Taluk,Society,Registrar of Societies,SOC/553/2014/8025,"Societies Registration Act, 1860",2022-10-24,Disaster Relief & Rehabilitation,Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_224205
2026-09-16,DARPAN_224205,Kalyan Sansthan National (Ahmedabad),contact@kalyansansth.org,Gujarat,Rajkot,Rajkot Taluk,Society,Registrar of Societies,SOC/553/2014/8025,"Societies Registration Act, 1860",2022-10-24,Disaster Relief & Rehabilitation,Ahmedabad,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_224205
2026-09-16,DARPAN_224205,Kalyan Sansthan National (Vadodara),contact@kalyansansth.org,Gujarat,Rajkot,Rajkot Taluk,Society,Registrar of Societies,SOC/553/2014/8025,"Societies Registration Act, 1860",2022-10-24,Disaster Relief & Rehabilitation,Vadodara,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_224205
2026-09-16,DARPAN_364659,Sankalp Trust Seva,contact@sankalptrust.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/990/2024/7770,"Companies Act, 2013",2025-10-25,"Child Welfare, Education",Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_364659
2026-09-16,DARPAN_364659,Sankalp Trust Seva (Surat),contact@sankalptrust.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/990/2024/7770,"Companies Act, 2013",2025-10-25,"Child Welfare, Education",Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_364659
2026-09-16,DARPAN_364659,Sankalp Trust Seva (Rajkot),,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/990/2024/7770,"Companies Act, 2013",2025-10-25,"Child Welfare, Education",Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_364659
2026-09-16,DARPAN_839485,Sahyog Sansthan National,contact@sahyogsansth.org,Rajasthan,Jaipur,Jaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/614/2016/2644,"Indian Trusts Act, 1882",2004-09-15,Nutrition & Food Security,Jaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_839485
2026-09-16,DARPAN_839485,Sahyog Sansthan National (Jodhpur),contact@sahyogsansth.org,Rajasthan,Jaipur,Jaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/614/2016/2644,"Indian Trusts Act, 1882",2004-09-15,Nutrition & Food Security,Jodhpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_839485
2026-09-16,DARPAN_839485,Sahyog Sansthan National (Kota),contact@sahyogsansth.org,Rajasthan,Jaipur,Jaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/614/2016/2644,"Indian Trusts Act, 1882",2004-09-15,Nutrition & Food Security,Kota,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_839485
2026-09-16,DARPAN_562236,Navjeevan Seva Sanstha Gramin,contact@navjeevansev.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Society,Registrar of Societies,SOC/434/2021/3877,"Societies Registration Act, 1860",2021-06-17,"Environment & Forests, Nutrition & Food Security",Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_562236
2026-09-16,DARPAN_562236,Navjeevan Seva Sanstha Gramin (Dharwad),contact@navjeevansev.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Society,Registrar of Societies,SOC/434/2021/3877,"Societies Registration Act, 1860",2021-06-17,"Environment & Forests, Nutrition & Food Security",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_562236
2026-09-16,DARPAN_562236,Navjeevan Seva Sanstha Gramin (Mangaluru),,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Society,Registrar of Societies,SOC/434/2021/3877,"Societies Registration Act, 1860",2021-06-17,"Environment & Forests, Nutrition & Food Security",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_562236
2026-09-16,DARPAN_166645,Goonj Mission Gramin,contact@goonjmission.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/615/2009/1710,"Societies Registration Act, 1860",2012-11-17,Education,Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_166645
2026-09-16,DARPAN_166645,Goonj Mission Gramin (Rajkot),contact@goonjmission.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/615/2009/1710,"Societies Registration Act, 1860",2012-11-17,Education,Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_166645
2026-09-16,DARPAN_166645,Goonj Mission Gramin (Surat),contact@goonjmission.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/615/2009/1710,"Societies Registration Act, 1860",2012-11-17,Education,Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_166645
2026-09-16,DARPAN_144357,Deepam Foundation Seva,contact@deepamfounda.org,Maharashtra,Nagpur,Nagpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/539/2020/7843,"Companies Act, 2013",2022-06-06,"Water & Sanitation, Child Welfare, Rural Development",Nagpur,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_144357
2026-09-16,DARPAN_144357,Deepam Foundation Seva (Pune),contact@deepamfounda.org,Maharashtra,Nagpur,Nagpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/539/2020/7843,"Companies Act, 2013",2022-06-06,"Water & Sanitation, Child Welfare, Rural Development",Pune,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_144357
2026-09-16,DARPAN_466813,Punarutthan Sansthan National,contact@punarutthans.org,Odisha,Khordha,Khordha Taluk,Society,Registrar of Societies,SOC/672/2019/6381,"Societies Registration Act, 1860",2000-12-22,"Healthcare & Medical, Women Empowerment, Rural Development",Khordha,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_466813
2026-09-16,DARPAN_466813,Punarutthan Sansthan National (Cuttack),contact@punarutthans.org,Odisha,Khordha,Khordha Taluk,Society,Registrar of Societies,SOC/672/2019/6381,"Societies Registration Act, 1860",2000-12-22,"Healthcare & Medical, Women Empowerment, Rural Development",Cuttack,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_466813
2026-09-16,DARPAN_145649,Sahyog Network Gramin,contact@sahyognetwor.org,Tamil Nadu,Coimbatore,Coimbatore Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/453/2010/2698,"Indian Trusts Act, 1882",2013-06-05,Skill Development & Livelihood,Coimbatore,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_145649
2026-09-16,DARPAN_145649,Sahyog Network Gramin (Vellore),contact@sahyognetwor.org,Tamil Nadu,Coimbatore,Coimbatore Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/453/2010/2698,"Indian Trusts Act, 1882",2013-06-05,Skill Development & Livelihood,Vellore,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_145649
2026-09-16,DARPAN_145649,Sahyog Network Gramin (Madurai),,Tamil Nadu,Coimbatore,Coimbatore Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/453/2010/2698,"Indian Trusts Act, 1882",2013-06-05,Skill Development & Livelihood,Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_145649
2026-09-16,DARPAN_429657,Gramin Samiti India,contact@graminsamiti.org,Tamil Nadu,Salem,Salem Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/611/2019/2929,"Indian Trusts Act, 1882",2023-08-07,"Environment & Forests, Child Welfare, Disaster Relief & Rehabilitation",Salem,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_429657
2026-09-16,DARPAN_429657,Gramin Samiti India (Madurai),contact@graminsamiti.org,Tamil Nadu,Salem,Salem Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/611/2019/2929,"Indian Trusts Act, 1882",2023-08-07,"Environment & Forests, Child Welfare, Disaster Relief & Rehabilitation",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_429657
2026-09-16,DARPAN_418897,Umeed Society Gramin,contact@umeedsociety.org,Delhi,South Delhi,South Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/390/2000/5105,"Companies Act, 2013",2021-05-05,"Water & Sanitation, Skill Development & Livelihood",South Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_418897
2026-09-16,DARPAN_418897,Umeed Society Gramin (Central Delhi),contact@umeedsociety.org,Delhi,South Delhi,South Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/390/2000/5105,"Companies Act, 2013",2021-05-05,"Water & Sanitation, Skill Development & Livelihood",Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_418897
2026-09-16,DARPAN_418897,Umeed Society Gramin (New Delhi),contact@umeedsociety.org,Delhi,South Delhi,South Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/390/2000/5105,"Companies Act, 2013",2021-05-05,"Water & Sanitation, Skill Development & Livelihood",New Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_418897
2026-09-16,DARPAN_377319,Uday Sansthan Gramin,contact@udaysansthan.org,Tamil Nadu,Madurai,Madurai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/683/2007/6939,"Indian Trusts Act, 1882",2020-09-15,"Environment & Forests, Healthcare & Medical",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_377319
2026-09-16,DARPAN_910616,Vikas Association India,contact@vikasassocia.org,West Bengal,Kolkata,Kolkata Taluk,Society,Registrar of Societies,SOC/552/2011/8849,"Societies Registration Act, 1860",2021-05-18,"Nutrition & Food Security, Healthcare & Medical",Kolkata,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_910616
2026-09-16,DARPAN_910616,Vikas Association India (Howrah),,West Bengal,Kolkata,Kolkata Taluk,Society,Registrar of Societies,SOC/552/2011/8849,"Societies Registration Act, 1860",2021-05-18,"Nutrition & Food Security, Healthcare & Medical",Howrah,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_910616
2026-09-16,DARPAN_910616,Vikas Association India (Cuttack),contact@vikasassocia.org,West Bengal,Kolkata,Kolkata Taluk,Society,Registrar of Societies,SOC/552/2011/8849,"Societies Registration Act, 1860",2021-05-18,"Nutrition & Food Security, Healthcare & Medical",Cuttack,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_910616
2026-09-16,DARPAN_626930,Punarutthan Trust Gramin,contact@punarutthant.org,Uttar Pradesh,Prayagraj,Prayagraj Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/324/2003/8834,"Indian Trusts Act, 1882",2021-10-12,"Skill Development & Livelihood, Child Welfare",Prayagraj,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_626930
2026-09-16,DARPAN_626930,Punarutthan Trust Gramin (North Delhi),contact@punarutthant.org,Uttar Pradesh,Prayagraj,Prayagraj Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/324/2003/8834,"Indian Trusts Act, 1882",2021-10-12,"Skill Development & Livelihood, Child Welfare",North Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_626930
2026-09-16,DARPAN_792282,Sneha Samiti Seva,contact@snehasamitis.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/670/2006/7999,"Indian Trusts Act, 1882",2020-06-21,"Skill Development & Livelihood, Rural Development",North 24 Parganas,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_792282
2026-09-16,DARPAN_792282,Sneha Samiti Seva (Ernakulam),contact@snehasamitis.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/670/2006/7999,"Indian Trusts Act, 1882",2020-06-21,"Skill Development & Livelihood, Rural Development",Ernakulam,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_792282
2026-09-16,DARPAN_792282,Sneha Samiti Seva (Kozhikode),contact@snehasamitis.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/670/2006/7999,"Indian Trusts Act, 1882",2020-06-21,"Skill Development & Livelihood, Rural Development",Kozhikode,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_792282
2026-09-16,DARPAN_161585,Sneha Foundation India,contact@snehafoundat.org,Tamil Nadu,Chennai,Chennai Taluk,Society,Registrar of Societies,SOC/240/2009/2113,"Societies Registration Act, 1860",2020-09-15,Water & Sanitation,Chennai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_161585
2026-09-16,DARPAN_161585,Sneha Foundation India (Salem),contact@snehafoundat.org,Tamil Nadu,Chennai,Chennai Taluk,Society,Registrar of Societies,SOC/240/2009/2113,"Societies Registration Act, 1860",2020-09-15,Water & Sanitation,Salem,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_161585
2026-09-16,DARPAN_161585,Sneha Foundation India (Madurai),,Tamil Nadu,Chennai,Chennai Taluk,Society,Registrar of Societies,SOC/240/2009/2113,"Societies Registration Act, 1860",2020-09-15,Water & Sanitation,Madurai,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_161585
2026-09-16,DARPAN_570646,Kalyan Initiative Seva,contact@kalyaninitia.org,Maharashtra,Mumbai,Mumbai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/462/2000/6315,"Indian Trusts Act, 1882",2010-07-13,"Skill Development & Livelihood, Disaster Relief & Rehabilitation",Mumbai,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_570646
2026-09-16,DARPAN_570646,Kalyan Initiative Seva (Thane),contact@kalyaninitia.org,Maharashtra,Mumbai,Mumbai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/462/2000/6315,"Indian Trusts Act, 1882",2010-07-13,"Skill Development & Livelihood, Disaster Relief & Rehabilitation",Thane,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_570646
2026-09-16,DARPAN_685098,Shakti Seva Sanstha National,contact@shaktisevasa.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/574/2004/6651,"Societies Registration Act, 1860",2003-05-14,"Healthcare & Medical, Water & Sanitation, Nutrition & Food Security",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_685098
2026-09-16,DARPAN_685098,Shakti Seva Sanstha National (Kota),contact@shaktisevasa.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/574/2004/6651,"Societies Registration Act, 1860",2003-05-14,"Healthcare & Medical, Water & Sanitation, Nutrition & Food Security",Kota,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_685098
2026-09-16,DARPAN_685098,Shakti Seva Sanstha National (Jaipur),,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/574/2004/6651,"Societies Registration Act, 1860",2003-05-14,"Healthcare & Medical, Water & Sanitation, Nutrition & Food Security",Jaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_685098
2026-09-16,DARPAN_970392,Jan Kalyan Association India,contact@jankalyanass.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/982/2000/8193,"Societies Registration Act, 1860",2009-04-07,"Water & Sanitation, Rural Development, Women Empowerment",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_970392
2026-09-16,DARPAN_970392,Jan Kalyan Association India (Jodhpur),contact@jankalyanass.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/982/2000/8193,"Societies Registration Act, 1860",2009-04-07,"Water & Sanitation, Rural Development, Women Empowerment",Jodhpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_970392
2026-09-16,DARPAN_362552,Seva Network National,contact@sevanetworkn.org,Tamil Nadu,Madurai,Madurai Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/412/2009/8032,"Companies Act, 2013",2014-01-07,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362552
2026-09-16,DARPAN_362552,Seva Network National (Chennai),contact@sevanetworkn.org,Tamil Nadu,Madurai,Madurai Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/412/2009/8032,"Companies Act, 2013",2014-01-07,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Chennai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362552
2026-09-16,DARPAN_362552,Seva Network National (Salem),contact@sevanetworkn.org,Tamil Nadu,Madurai,Madurai Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/412/2009/8032,"Companies Act, 2013",2014-01-07,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Salem,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362552
2026-09-16,DARPAN_865416,Jan Kalyan Foundation National,contact@jankalyanfou.org,Maharashtra,Nashik,Nashik Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/564/1998/6067,"Indian Trusts Act, 1882",2014-03-04,Nutrition & Food Security,Nashik,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_865416
2026-09-16,DARPAN_865416,Jan Kalyan Foundation National (Nagpur),contact@jankalyanfou.org,Maharashtra,Nashik,Nashik Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/564/1998/6067,"Indian Trusts Act, 1882",2014-03-04,Nutrition & Food Security,Nagpur,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_865416
