financial_report_id,ngo_id,financial_year,document_type,document_source,audit_status,auditor_name,total_income,grant_income,donation_income,other_income,fcra_income,nfcra_income,total_expenditure,programme_expenses,administrative_expenses,fundraising_expenses,employee_expenses,consultancy_expenses,material_expenses,other_expenses,cash_and_bank_balance,total_assets,total_liabilities,surplus_or_deficit,related_party_transactions,source_url,verification_status
FIN_NGO_00007_FY2025-26,NGO_00007,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",265507168.58,166971405.02,57531900.74,41003862.82,0.0,265507168.58,235172889.14,188883016.14,28808094.92,7675408.66,20641978.86,0.0,0.0,-10835609.44,97919552.63,395905562.96,47780662.97,30334279.44,0.0,https://eleos.org/docs/FIN_NGO_00007_FY2025-26.pdf,Verified
FIN_NGO_00008_FY2025-26,NGO_00008,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",25167854.73,12350475.66,7878034.02,4939345.05,0.0,25167854.73,24765253.34,18207219.56,1752102.64,560237.52,2062377.49,654994.84,1309989.68,218331.61,15489149.84,5945781.09,936236.32,402601.39,0.0,https://eleos.org/docs/FIN_NGO_00008_FY2025-26.pdf,Verified
FIN_NGO_00008_FY2024-25,NGO_00008,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",29486118.2,16507943.26,6844044.43,6134130.51,0.0,29486118.2,26006189.28,18154782.89,1754652.73,446725.52,1395205.78,1276446.71,2552893.41,425482.24,10846337.51,5469386.41,2145577.28,3479928.92,0.0,https://eleos.org/docs/FIN_NGO_00008_FY2024-25.pdf,Verified
FIN_NGO_00009_FY2025-26,NGO_00009,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",1550407.13,579627.79,817693.96,153085.38,0.0,1550407.13,1466092.45,1153972.99,182061.75,40414.51,139676.9,0.0,0.0,-50033.7,442826.77,947507.07,172137.26,84314.68,0.0,https://eleos.org/docs/FIN_NGO_00009_FY2025-26.pdf,Verified
FIN_NGO_00009_FY2024-25,NGO_00009,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",1293582.01,676299.51,330458.37,286824.13,0.0,1293582.01,1242521.58,900910.43,72338.89,53973.08,121412.58,28165.98,56331.96,9388.66,777064.47,1062901.51,320660.88,51060.43,0.0,https://eleos.org/docs/FIN_NGO_00009_FY2024-25.pdf,Verified
FIN_NGO_00010_FY2025-26,NGO_00010,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",2335958.09,1597537.39,730755.08,7665.62,0.0,2335958.09,2221855.24,1608337.83,221327.57,104148.86,140010.57,44409.13,88818.25,14803.03,1310146.11,1402175.67,256421.78,114102.85,0.0,https://eleos.org/docs/FIN_NGO_00010_FY2025-26.pdf,Verified
FIN_NGO_00010_FY2024-25,NGO_00010,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Deshmukh & Associates, Chartered Accountants",2342465.05,1588706.15,465181.09,288577.81,0.0,2342465.05,2110100.38,1548265.16,216969.79,62428.62,210871.07,21469.72,42939.44,7156.58,884744.6,1266532.59,336359.68,232364.67,0.0,https://eleos.org/docs/FIN_NGO_00010_FY2024-25.pdf,Verified
FIN_NGO_00011_FY2025-26,NGO_00011,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",238039753.7,125559167.06,88987641.1,23492945.54,0.0,238039753.7,221966774.55,187032829.21,12017100.76,4824383.71,19481714.8,0.0,0.0,-1389253.93,49450845.19,388004600.54,104675267.53,16072979.15,0.0,https://eleos.org/docs/FIN_NGO_00011_FY2025-26.pdf,Verified
FIN_NGO_00011_FY2024-25,NGO_00011,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",247422576.97,124457940.41,95761344.17,27203292.39,0.0,247422576.97,233651004.14,179813164.4,23945522.63,8298392.34,12601103.96,2697846.24,5395692.49,899282.08,112951652.22,416364957.09,99751041.24,13771572.83,0.0,https://eleos.org/docs/FIN_NGO_00011_FY2024-25.pdf,Verified
FIN_NGO_00012_FY2025-26,NGO_00012,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",30079067.81,16200307.61,10315093.74,3563666.46,0.0,30079067.81,29145309.75,24766822.82,2317651.51,1046494.27,2232674.46,0.0,0.0,-1218333.31,11137407.04,10778478.97,3177192.01,933758.06,0.0,https://eleos.org/docs/FIN_NGO_00012_FY2025-26.pdf,Verified
FIN_NGO_00012_FY2024-25,NGO_00012,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",27960636.67,15295862.03,5017377.74,7647396.9,0.0,27960636.67,27514374.2,23104003.69,1711662.74,1013064.09,1849478.41,0.0,0.0,-163834.73,17141098.62,10194177.58,3289464.4,446262.47,0.0,https://eleos.org/docs/FIN_NGO_00012_FY2024-25.pdf,Verified
FIN_NGO_00012_FY2023-24,NGO_00012,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",31319534.25,18674613.23,12160576.29,484344.73,0.0,31319534.25,28596481.44,20885532.45,3206387.91,794634.29,1516648.17,657983.59,1315967.17,219327.86,9475244.5,11358428.7,2387547.25,2723052.81,0.0,https://eleos.org/docs/FIN_NGO_00012_FY2023-24.pdf,Verified
FIN_NGO_00013_FY2025-26,NGO_00013,FY2025-26,Audited Financial Statement,NGO Website,Qualified,"M/s K. Mehta & Co., Chartered Accountants",3348845.26,1776970.86,746711.55,825162.85,0.0,3348845.26,3147067.16,2332000.97,285800.59,43440.33,204431.53,84418.12,168836.24,28139.38,1518629.63,3517243.37,512784.81,201778.1,0.0,https://eleos.org/docs/FIN_NGO_00013_FY2025-26.pdf,Extracted
FIN_NGO_00013_FY2024-25,NGO_00013,FY2024-25,Audited Financial Statement,Public Repository,Qualified,"M/s Sen & Dasgupta, Chartered Accountants",2848967.04,1489299.25,1121542.28,238125.51,0.0,2848967.04,2731121.44,2040356.47,168538.57,131817.54,119073.78,81400.53,162801.05,27133.5,1324612.01,3543586.87,1283069.77,117845.6,0.0,https://eleos.org/docs/FIN_NGO_00013_FY2024-25.pdf,Extracted
FIN_NGO_00013_FY2023-24,NGO_00013,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",2388917.52,1110970.3,645668.63,632278.59,0.0,2388917.52,2385617.18,1666706.91,228225.15,69868.94,117572.31,90973.16,181946.32,30324.39,775461.56,3648546.96,490604.03,3300.34,0.0,https://eleos.org/docs/FIN_NGO_00013_FY2023-24.pdf,Verified
FIN_NGO_00013_FY2022-23,NGO_00013,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",2685754.52,1986971.26,645052.12,53731.14,0.0,2685754.52,2675345.91,2114708.96,288517.13,126178.33,111228.12,10414.01,20828.02,3471.34,759059.48,3377338.06,1049709.2,10408.61,0.0,https://eleos.org/docs/FIN_NGO_00013_FY2022-23.pdf,Verified
FIN_NGO_00013_FY2021-22,NGO_00013,FY2021-22,Audited Financial Statement,NGO Website,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",2377714.59,968444.57,1048586.59,360683.43,0.0,2377714.59,2268975.94,1571323.42,264760.48,31017.6,223059.89,53644.37,107288.73,17881.45,767134.42,3574497.7,526247.5,108738.65,0.0,https://eleos.org/docs/FIN_NGO_00013_FY2021-22.pdf,Verified
FIN_NGO_00014_FY2025-26,NGO_00014,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",3349511.0,1409670.01,1613329.57,326511.42,0.0,3349511.0,3380934.76,2599739.57,398612.63,94518.12,289383.09,0.0,0.0,-1318.65,1461395.16,3608603.8,1036955.88,-31423.76,0.0,https://eleos.org/docs/FIN_NGO_00014_FY2025-26.pdf,Verified
FIN_NGO_00014_FY2024-25,NGO_00014,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",3276875.56,1761544.86,1137943.02,377387.68,0.0,3276875.56,3095480.67,2548631.02,319539.59,40141.04,189185.05,0.0,0.0,-2016.03,522528.35,3421290.04,636781.14,181394.89,0.0,https://eleos.org/docs/FIN_NGO_00014_FY2024-25.pdf,Verified
FIN_NGO_00015_FY2025-26,NGO_00015,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",42580392.2,15647313.56,13871961.81,13061116.83,0.0,42580392.2,42143178.88,34115974.64,5784698.08,1689758.01,3229673.08,0.0,0.0,-2676924.93,11252290.8,65135256.5,25381841.04,437213.32,0.0,https://eleos.org/docs/FIN_NGO_00015_FY2025-26.pdf,Verified
FIN_NGO_00015_FY2024-25,NGO_00015,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",40554534.02,29558255.99,10919829.21,76448.82,0.0,40554534.02,41174107.59,31420060.16,3102858.35,1280448.52,2590359.71,834114.26,1668228.52,278038.07,22993500.03,72860646.24,10311206.62,-619573.57,0.0,https://eleos.org/docs/FIN_NGO_00015_FY2024-25.pdf,Verified
FIN_NGO_00015_FY2023-24,NGO_00015,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s Deshmukh & Associates, Chartered Accountants",38674278.14,27989248.86,9275544.1,1409485.18,0.0,38674278.14,36466158.27,28183369.63,2232494.66,598500.58,1642162.55,1142889.26,2285778.51,380963.08,14829924.84,73270046.35,9342961.88,2208119.87,0.0,https://eleos.org/docs/FIN_NGO_00015_FY2023-24.pdf,Verified
FIN_NGO_00015_FY2022-23,NGO_00015,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",44667626.91,23046653.5,12615566.01,9005407.4,0.0,44667626.91,41300397.28,30864326.59,3500413.13,783945.57,1854236.11,1289242.76,2578485.53,429747.59,8241145.79,71671032.71,14376285.09,3367229.63,0.0,https://eleos.org/docs/FIN_NGO_00015_FY2022-23.pdf,Verified
FIN_NGO_00015_FY2021-22,NGO_00015,FY2021-22,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",44224692.71,30180884.79,12256795.79,1787012.13,0.0,44224692.71,40252946.66,30770955.42,4241909.58,433127.96,3797923.86,302708.95,605417.9,100902.99,9047244.62,74770608.57,21134961.52,3971746.05,0.0,https://eleos.org/docs/FIN_NGO_00015_FY2021-22.pdf,Verified
FIN_NGO_00016_FY2025-26,NGO_00016,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",688576.74,461165.3,157523.07,69888.37,0.0,688576.74,623956.85,469218.0,55891.74,14701.34,60766.36,7013.82,14027.65,2337.94,309503.97,1135095.89,385010.07,64619.89,0.0,https://eleos.org/docs/FIN_NGO_00016_FY2025-26.pdf,Verified
FIN_NGO_00016_FY2024-25,NGO_00016,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",584197.95,345250.08,212064.88,26882.99,0.0,584197.95,539161.79,419567.83,42544.73,19645.31,24156.68,9974.17,19948.34,3324.73,243329.55,1148801.22,352600.92,45036.16,0.0,https://eleos.org/docs/FIN_NGO_00016_FY2024-25.pdf,Verified
FIN_NGO_00017_FY2025-26,NGO_00017,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",36929321.91,16422265.37,12933749.82,7573306.72,0.0,36929321.91,33168734.17,24709425.79,3366791.26,1635897.83,2256944.97,359902.3,719804.59,119967.43,19639977.79,36419602.11,7992208.63,3760587.74,0.0,https://eleos.org/docs/FIN_NGO_00017_FY2025-26.pdf,Verified
FIN_NGO_00018_FY2025-26,NGO_00018,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",281306710.64,175941996.22,52181744.17,53182970.25,77271162.49,204035548.15,260125523.53,198631742.7,20970625.47,11565025.5,12647334.55,4893238.59,9786477.18,1631079.54,167523876.65,169956716.61,37325041.28,21181187.11,0.0,https://eleos.org/docs/FIN_NGO_00018_FY2025-26.pdf,Verified
FIN_NGO_00018_FY2024-25,NGO_00018,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",262988501.24,141116743.94,61494221.96,60377535.34,59008219.79,203980281.45,240570793.14,167780349.42,18312027.56,8327381.52,15167745.53,9294986.73,18589973.46,3098328.92,140169474.97,163444105.06,32399646.91,22417708.1,0.0,https://eleos.org/docs/FIN_NGO_00018_FY2024-25.pdf,Verified
FIN_NGO_00019_FY2025-26,NGO_00019,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",23062418.79,11696839.88,8333548.89,3032030.02,0.0,23062418.79,21876515.34,18194005.35,2262802.16,664795.89,1540957.66,0.0,0.0,-786045.72,9438887.91,6067264.15,637008.66,1185903.45,0.0,https://eleos.org/docs/FIN_NGO_00019_FY2025-26.pdf,Verified
FIN_NGO_00019_FY2024-25,NGO_00019,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",23757353.38,15886587.95,6687692.2,1183073.23,0.0,23757353.38,23510432.72,18898810.96,1231905.39,1144554.35,1609886.59,187582.63,375165.26,62527.54,12650517.44,6192565.68,1959451.84,246920.66,0.0,https://eleos.org/docs/FIN_NGO_00019_FY2024-25.pdf,Verified
FIN_NGO_00019_FY2023-24,NGO_00019,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",25649052.14,16924333.45,5701683.29,3023035.4,0.0,25649052.14,23256247.09,19253824.46,1669744.83,884221.97,1729200.03,0.0,0.0,-280744.2,8616888.0,5998830.89,1343066.45,2392805.05,0.0,https://eleos.org/docs/FIN_NGO_00019_FY2023-24.pdf,Verified
FIN_NGO_00020_FY2025-26,NGO_00020,FY2025-26,Audited Financial Statement,Public Repository,Qualified,"M/s R. K. Sharma & Associates, Chartered Accountants",46809485.61,33482445.44,8125314.32,5201725.85,0.0,46809485.61,43793982.99,36734572.28,2882563.04,2184744.83,4168227.6,0.0,0.0,-2176124.76,17416514.43,43315965.67,16834291.52,3015502.62,0.0,https://eleos.org/docs/FIN_NGO_00020_FY2025-26.pdf,Extracted
FIN_NGO_00020_FY2024-25,NGO_00020,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",43412109.12,25661470.14,16946555.68,804083.3,0.0,43412109.12,43607307.11,32282820.02,3963529.94,1350637.85,3422246.72,776421.78,1552843.56,258807.24,9467145.2,39870867.03,7250562.0,-195197.99,0.0,https://eleos.org/docs/FIN_NGO_00020_FY2024-25.pdf,Verified
FIN_NGO_00021_FY2025-26,NGO_00021,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",12404172.05,7114026.86,4167895.72,1122249.47,0.0,12404172.05,11294075.35,8306459.49,586832.71,114303.03,624194.55,498685.67,997371.34,166228.56,2106511.79,19142883.17,5936504.09,1110096.7,0.0,https://eleos.org/docs/FIN_NGO_00021_FY2025-26.pdf,Verified
FIN_NGO_00021_FY2024-25,NGO_00021,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",14575018.87,7853435.27,3488304.15,3233279.45,0.0,14575018.87,14792617.48,10538210.97,919932.14,579450.2,1161094.74,478178.83,956357.66,159392.94,4988521.2,20961009.84,4916638.36,-217598.61,0.0,https://eleos.org/docs/FIN_NGO_00021_FY2024-25.pdf,Verified
FIN_NGO_00022_FY2025-26,NGO_00022,FY2025-26,Audited Financial Statement,Public Repository,Qualified,"M/s R. K. Sharma & Associates, Chartered Accountants",11034173.8,7717832.82,1967705.74,1348635.24,0.0,11034173.8,11053222.53,9031647.32,1273192.76,322486.26,812754.82,0.0,0.0,-386858.63,3498147.69,7088039.67,741409.74,-19048.73,0.0,https://eleos.org/docs/FIN_NGO_00022_FY2025-26.pdf,Extracted
FIN_NGO_00022_FY2024-25,NGO_00022,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",12014852.79,7830467.61,3980570.89,203814.29,0.0,12014852.79,11114052.43,8949176.51,1259657.5,217538.0,709053.47,0.0,0.0,-21373.05,3240075.25,6450586.92,1900448.71,900800.36,0.0,https://eleos.org/docs/FIN_NGO_00022_FY2024-25.pdf,Verified
FIN_NGO_00023_FY2025-26,NGO_00023,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",4728703.61,2523231.98,1073184.94,1132286.69,0.0,4728703.61,4817766.18,3880722.88,370957.0,63713.4,432075.22,21089.31,42178.61,7029.76,2288184.68,2086442.23,462321.15,-89062.57,0.0,https://eleos.org/docs/FIN_NGO_00023_FY2025-26.pdf,Verified
FIN_NGO_00023_FY2024-25,NGO_00023,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",3893624.3,1629689.81,1423751.19,840183.3,0.0,3893624.3,3478371.83,2636966.68,419470.31,154155.92,257230.46,3164.54,6329.07,1054.85,1440322.79,2091445.65,341794.75,415252.47,0.0,https://eleos.org/docs/FIN_NGO_00023_FY2024-25.pdf,Verified
FIN_NGO_00023_FY2023-24,NGO_00023,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",3572767.15,2571190.85,854627.0,146949.3,0.0,3572767.15,3569408.26,2607335.45,352917.26,61301.66,283719.96,79240.18,158480.36,26413.39,563356.31,2167232.4,310472.23,3358.89,0.0,https://eleos.org/docs/FIN_NGO_00023_FY2023-24.pdf,Verified
FIN_NGO_00023_FY2022-23,NGO_00023,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",3314597.85,1907827.1,1012645.56,394125.19,0.0,3314597.85,3260120.19,2715352.92,361655.39,82656.59,236142.72,0.0,0.0,-135687.43,1777577.41,2389221.2,295136.45,54477.66,0.0,https://eleos.org/docs/FIN_NGO_00023_FY2022-23.pdf,Verified
FIN_NGO_00023_FY2021-22,NGO_00023,FY2021-22,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",3239528.08,2220598.87,667465.15,351464.06,0.0,3239528.08,2864220.95,2344138.62,389354.34,117267.5,182743.55,0.0,0.0,-169283.06,821067.64,2528852.82,625084.46,375307.13,0.0,https://eleos.org/docs/FIN_NGO_00023_FY2021-22.pdf,Verified
FIN_NGO_00024_FY2025-26,NGO_00024,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",21250621.05,11179721.56,6151656.52,3919242.97,0.0,21250621.05,20495152.49,16974830.15,2225636.6,451250.2,1550736.51,0.0,0.0,-707300.97,10199333.68,36202001.95,5549447.65,755468.56,0.0,https://eleos.org/docs/FIN_NGO_00024_FY2025-26.pdf,Verified
FIN_NGO_00024_FY2024-25,NGO_00024,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",22742091.56,12426345.35,7387433.35,2928312.86,0.0,22742091.56,20375647.2,14744559.45,1708395.68,524008.78,1813222.14,475638.35,951276.7,158546.1,8800756.6,37025196.29,9763126.83,2366444.36,0.0,https://eleos.org/docs/FIN_NGO_00024_FY2024-25.pdf,Verified
FIN_NGO_00024_FY2023-24,NGO_00024,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",22427886.83,14204630.81,5494667.65,2728588.37,0.0,22427886.83,21021205.79,15396763.93,2361841.26,879238.7,1873786.86,152872.51,305745.03,50957.5,8401158.69,37324096.74,6442376.12,1406681.04,0.0,https://eleos.org/docs/FIN_NGO_00024_FY2023-24.pdf,Verified
FIN_NGO_00024_FY2022-23,NGO_00024,FY2022-23,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",21434705.87,11352392.29,7321282.06,2761031.52,0.0,21434705.87,20117802.49,15788530.33,1973416.93,900982.81,1919434.41,0.0,0.0,-464561.99,3387487.53,39760525.25,12345256.86,1316903.38,0.0,https://eleos.org/docs/FIN_NGO_00024_FY2022-23.pdf,Verified
FIN_NGO_00025_FY2025-26,NGO_00025,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",34158646.28,20706682.76,8722684.65,4729278.87,5422947.51,28735698.77,33429802.77,26427571.17,2265176.67,854246.17,2525026.2,407334.77,814669.54,135778.25,8454137.69,46052379.42,15778417.26,728843.51,0.0,https://eleos.org/docs/FIN_NGO_00025_FY2025-26.pdf,Verified
FIN_NGO_00025_FY2024-25,NGO_00025,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",34612274.6,17178667.62,7604378.31,9829228.67,6375113.41,28237161.19,32342038.08,25897119.1,3041883.76,728865.49,3168063.82,0.0,0.0,-493894.09,11199142.3,40457577.57,8317894.97,2270236.52,0.0,https://eleos.org/docs/FIN_NGO_00025_FY2024-25.pdf,Verified
FIN_NGO_00025_FY2023-24,NGO_00025,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",37178975.86,17436119.28,14281640.3,5461216.28,6522143.8,30656832.06,36326875.22,25578137.85,2201682.86,629246.17,2118685.08,1739736.98,3479473.95,579912.33,14727366.93,43123110.63,6095891.09,852100.64,0.0,https://eleos.org/docs/FIN_NGO_00025_FY2023-24.pdf,Verified
FIN_NGO_00026_FY2025-26,NGO_00026,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",3077310.11,1384392.26,1337552.17,355365.68,0.0,3077310.11,2956801.34,2451563.01,350477.42,87457.3,238241.53,0.0,0.0,-170937.92,840791.82,5213773.83,1228352.17,120508.77,0.0,https://eleos.org/docs/FIN_NGO_00026_FY2025-26.pdf,Verified
FIN_NGO_00026_FY2024-25,NGO_00026,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",2969685.12,1930060.58,858226.04,181398.5,0.0,2969685.12,2974576.45,2492448.54,270456.25,98988.61,206086.6,0.0,0.0,-93403.55,1706168.46,4873118.62,1908532.97,-4891.33,0.0,https://eleos.org/docs/FIN_NGO_00026_FY2024-25.pdf,Verified
