ngo_id,total_projects_found,completed_projects,ongoing_projects,planned_projects,total_project_locations,total_beneficiaries_reported,projects_with_funder,projects_with_dates,projects_with_outcomes,projects_with_milestones,government_partnership_count,operational_evidence_completeness
NGO_00027,4,4,0,0,4,9012,2,4,4,4,2,0.875
NGO_00028,3,3,0,0,3,1153,3,3,3,3,1,1.0
NGO_00029,2,2,0,0,2,990,2,2,2,2,1,1.0
NGO_00030,6,5,1,0,6,11611,4,6,5,6,2,0.9167
NGO_00031,2,2,0,0,2,6954,1,2,2,2,1,0.875
NGO_00032,1,1,0,0,1,2967,1,1,1,1,1,1.0
NGO_00033,3,2,1,0,3,4387,2,3,2,3,3,0.9167
NGO_00034,2,2,0,0,2,3754,2,2,2,2,1,1.0
NGO_00035,4,4,0,0,4,11282,4,4,4,4,3,1.0
NGO_00036,3,3,0,0,3,8615,2,3,3,3,1,0.9167
NGO_00037,1,0,1,0,1,1286,1,1,0,1,0,0.75
NGO_00038,1,0,1,0,1,3212,1,1,0,1,1,0.75
NGO_00039,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00040,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00041,4,3,1,0,4,7345,2,4,3,4,4,0.875
NGO_00042,3,3,0,0,3,7616,1,3,3,3,1,0.8333
NGO_00043,3,3,0,0,3,10128,3,3,3,3,1,1.0
NGO_00044,6,6,0,0,6,18756,4,6,6,6,2,0.9167
NGO_00045,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00046,7,6,1,0,7,21471,7,7,6,7,3,1.0
NGO_00047,6,5,1,0,6,14798,4,6,5,6,4,0.9167
NGO_00048,5,5,0,0,5,13653,3,5,5,5,5,0.9
NGO_00049,3,2,1,0,3,7471,2,3,2,3,0,0.9167
NGO_00050,3,2,1,0,3,7559,3,3,2,3,2,1.0
NGO_00051,5,5,0,0,5,13851,5,5,5,5,2,1.0
NGO_00052,5,5,0,0,5,14853,5,5,5,5,5,1.0
NGO_00053,7,7,0,0,7,8340,5,7,7,7,4,0.9286
NGO_00054,2,1,1,0,2,7952,1,2,1,2,2,0.875
NGO_00055,7,7,0,0,7,15813,5,7,7,7,5,0.9286
NGO_00056,1,0,1,0,1,2668,1,1,0,1,1,0.75
NGO_00057,2,2,0,0,2,3894,2,2,2,2,1,1.0
NGO_00058,3,2,1,0,3,10958,3,3,2,3,2,1.0
NGO_00059,1,1,0,0,1,4099,1,1,1,1,1,1.0
NGO_00060,3,2,1,0,3,7521,3,3,2,3,2,1.0
NGO_00061,7,7,0,0,7,20492,6,7,7,7,5,0.9643
NGO_00062,4,4,0,0,4,5682,4,4,4,4,1,1.0
NGO_00063,6,6,0,0,6,10153,6,6,6,6,4,1.0
NGO_00064,2,2,0,0,2,7566,1,2,2,2,2,0.875
NGO_00065,5,5,0,0,5,11903,2,5,5,5,2,0.85
NGO_00066,7,6,1,0,7,16632,7,7,6,7,6,1.0
NGO_00067,6,6,0,0,6,17991,6,6,6,6,3,1.0
NGO_00068,3,2,1,0,3,9066,3,3,2,3,2,1.0
NGO_00069,6,5,1,0,6,15667,4,6,5,6,4,0.9167
NGO_00070,3,3,0,0,3,11530,3,3,3,3,3,1.0
NGO_00071,3,2,1,0,3,10921,3,3,2,3,1,1.0
NGO_00072,6,6,0,0,6,17296,5,6,6,6,5,0.9583
NGO_00073,2,2,0,0,2,4920,2,2,2,2,0,1.0
NGO_00074,2,2,0,0,2,2316,1,2,2,2,2,0.875
NGO_00075,2,1,1,0,2,4189,2,2,1,2,2,1.0
NGO_00076,2,2,0,0,2,5581,2,2,2,2,2,1.0
NGO_00077,5,5,0,0,5,7979,2,5,5,5,4,0.85
NGO_00078,6,5,1,0,6,10596,5,6,5,6,3,0.9583
NGO_00079,2,2,0,0,2,4584,1,2,2,2,2,0.875
NGO_00080,3,2,1,0,3,6475,2,3,2,3,1,0.9167
NGO_00081,4,4,0,0,4,12190,3,4,4,4,3,0.9375
NGO_00082,6,6,0,0,6,13312,6,6,6,6,4,1.0
NGO_00083,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00084,7,7,0,0,7,22321,5,7,7,7,5,0.9286
NGO_00085,5,4,1,0,5,14994,4,5,4,5,1,0.95
NGO_00086,6,6,0,0,6,16012,4,6,6,6,4,0.9167
NGO_00087,7,7,0,0,7,23728,4,7,7,7,5,0.8929
NGO_00088,3,3,0,0,3,6978,2,3,3,3,3,0.9167
NGO_00089,5,4,1,0,5,15542,5,5,4,5,2,1.0
NGO_00090,5,5,0,0,5,14919,5,5,5,5,4,1.0
NGO_00091,6,6,0,0,6,13951,4,6,6,6,3,0.9167
NGO_00092,7,6,1,0,7,20479,6,7,6,7,4,0.9643
NGO_00093,3,3,0,0,3,5960,3,3,3,3,0,1.0
NGO_00094,3,3,0,0,3,9994,3,3,3,3,1,1.0
NGO_00095,3,3,0,0,3,8259,1,3,3,3,1,0.8333
NGO_00096,2,2,0,0,2,4666,1,2,2,2,1,0.875
NGO_00097,7,7,0,0,7,16720,7,7,7,7,4,1.0
NGO_00098,7,7,0,0,7,19727,6,7,7,7,4,0.9643
NGO_00099,2,2,0,0,2,6961,2,2,2,2,1,1.0
NGO_00100,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00101,7,7,0,0,7,13081,4,7,7,7,7,0.8929
NGO_00102,4,4,0,0,4,12735,2,4,4,4,2,0.875
NGO_00103,2,2,0,0,2,4290,2,2,2,2,1,1.0
NGO_00104,2,2,0,0,2,7222,0,2,2,2,0,0.75
NGO_00105,2,1,1,0,2,3790,2,2,1,2,1,1.0
NGO_00106,1,0,1,0,1,2367,1,1,0,1,1,0.75
NGO_00107,3,3,0,0,3,7666,3,3,3,3,1,1.0
NGO_00108,4,3,1,0,4,11239,4,4,3,4,3,1.0
NGO_00109,3,3,0,0,3,12776,1,3,3,3,1,0.8333
NGO_00110,4,4,0,0,4,12209,4,4,4,4,2,1.0
NGO_00111,5,5,0,0,5,14943,5,5,5,5,3,1.0
NGO_00112,6,6,0,0,6,16093,5,6,6,6,4,0.9583
NGO_00113,3,3,0,0,3,4201,3,3,3,3,2,1.0
NGO_00114,3,2,1,0,3,7560,2,3,2,3,2,0.9167
NGO_00115,5,5,0,0,5,10722,5,5,5,5,5,1.0
NGO_00116,2,2,0,0,2,5775,2,2,2,2,2,1.0
NGO_00117,4,4,0,0,4,13920,1,4,4,4,3,0.8125
NGO_00118,4,4,0,0,4,13011,4,4,4,4,1,1.0
NGO_00119,4,4,0,0,4,8776,4,4,4,4,2,1.0
NGO_00120,4,4,0,0,4,13603,3,4,4,4,4,0.9375
NGO_00121,5,5,0,0,5,11463,3,5,5,5,1,0.9
NGO_00122,2,2,0,0,2,2149,1,2,2,2,1,0.875
NGO_00123,5,5,0,0,5,10117,5,5,5,5,3,1.0
NGO_00124,6,5,1,0,6,16367,4,6,5,6,3,0.9167
NGO_00125,6,6,0,0,6,14236,6,6,6,6,2,1.0
NGO_00126,6,6,0,0,6,14611,4,6,6,6,4,0.9167
NGO_00127,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00128,7,6,1,0,7,12056,3,7,6,7,3,0.8571
NGO_00129,5,5,0,0,5,12580,4,5,5,5,3,0.95
NGO_00130,3,3,0,0,3,8507,3,3,3,3,2,1.0
NGO_00131,2,2,0,0,2,3873,1,2,2,2,0,0.875
NGO_00132,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00133,7,7,0,0,7,16284,5,7,7,7,6,0.9286
NGO_00134,5,4,1,0,5,17761,4,5,4,5,3,0.95
NGO_00135,4,4,0,0,4,9719,2,4,4,4,3,0.875
NGO_00136,3,3,0,0,3,12280,3,3,3,3,1,1.0
NGO_00137,7,7,0,0,7,17589,5,7,7,7,4,0.9286
NGO_00138,7,7,0,0,7,18773,6,7,7,7,6,0.9643
NGO_00139,5,4,1,0,5,14277,2,5,4,5,4,0.85
NGO_00140,6,6,0,0,6,19425,5,6,6,6,3,0.9583
NGO_00141,4,4,0,0,4,12268,4,4,4,4,2,1.0
NGO_00142,2,2,0,0,2,3382,2,2,2,2,2,1.0
NGO_00143,2,2,0,0,2,4058,1,2,2,2,2,0.875
NGO_00144,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00145,3,3,0,0,3,8046,2,3,3,3,3,0.9167
NGO_00146,5,4,1,0,5,17103,2,5,4,5,4,0.85
NGO_00147,7,7,0,0,7,26893,4,7,7,7,1,0.8929
NGO_00148,4,3,1,0,4,6572,3,4,3,4,2,0.9375
NGO_00149,3,2,1,0,3,11450,3,3,2,3,3,1.0
NGO_00150,5,5,0,0,5,18415,4,5,5,5,2,0.95
NGO_00151,1,1,0,0,1,1143,0,1,1,1,1,0.75
NGO_00152,6,5,1,0,6,22010,6,6,5,6,2,1.0
NGO_00153,2,1,1,0,2,5873,2,2,1,2,2,1.0
NGO_00154,6,6,0,0,6,13133,5,6,6,6,2,0.9583
NGO_00155,3,2,1,0,3,8231,2,3,2,3,3,0.9167
NGO_00156,3,3,0,0,3,7943,2,3,3,3,2,0.9167
NGO_00157,2,2,0,0,2,4194,2,2,2,2,1,1.0
NGO_00158,2,2,0,0,2,1726,2,2,2,2,1,1.0
NGO_00159,2,2,0,0,2,5691,1,2,2,2,1,0.875
NGO_00160,1,0,1,0,1,1534,0,1,0,1,1,0.5
NGO_00161,2,2,0,0,2,5195,1,2,2,2,1,0.875
NGO_00162,3,3,0,0,3,6000,3,3,3,3,1,1.0
NGO_00163,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00164,5,5,0,0,5,12808,3,5,5,5,3,0.9
NGO_00165,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00166,7,7,0,0,7,20595,6,7,7,7,5,0.9643
NGO_00167,6,6,0,0,6,18310,5,6,6,6,3,0.9583
NGO_00168,6,6,0,0,6,13105,4,6,6,6,4,0.9167
NGO_00169,4,4,0,0,4,9356,4,4,4,4,3,1.0
NGO_00170,5,4,1,0,5,11281,5,5,4,5,3,1.0
NGO_00171,4,4,0,0,4,9896,3,4,4,4,0,0.9375
NGO_00172,2,1,1,0,2,5934,2,2,1,2,2,1.0
NGO_00173,6,5,1,0,6,12972,5,6,5,6,3,0.9583
NGO_00174,7,7,0,0,7,23547,6,7,7,7,4,0.9643
NGO_00175,2,1,1,0,2,2355,1,2,1,2,2,0.875
NGO_00176,5,5,0,0,5,15578,2,5,5,5,2,0.85
NGO_00177,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00178,2,2,0,0,2,2546,2,2,2,2,1,1.0
NGO_00179,4,4,0,0,4,12233,4,4,4,4,1,1.0
NGO_00180,1,0,1,0,1,4129,1,1,0,1,1,0.75
NGO_00181,1,1,0,0,1,1509,1,1,1,1,0,1.0
NGO_00182,7,7,0,0,7,23106,6,7,7,7,3,0.9643
NGO_00183,4,4,0,0,4,6485,3,4,4,4,3,0.9375
NGO_00184,2,2,0,0,2,3789,2,2,2,2,1,1.0
NGO_00185,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00186,3,3,0,0,3,5140,2,3,3,3,2,0.9167
NGO_00187,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00188,1,0,1,0,1,4548,1,1,0,1,0,0.75
NGO_00189,4,4,0,0,4,9016,4,4,4,4,2,1.0
NGO_00190,4,4,0,0,4,8574,4,4,4,4,1,1.0
NGO_00191,4,3,1,0,4,11183,3,4,3,4,3,0.9375
NGO_00192,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00193,6,6,0,0,6,16235,3,6,6,6,4,0.875
NGO_00194,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00195,5,5,0,0,5,9073,4,5,5,5,2,0.95
NGO_00196,5,5,0,0,5,8856,2,5,5,5,2,0.85
NGO_00197,7,7,0,0,7,11034,4,7,7,7,4,0.8929
NGO_00198,1,1,0,0,1,4264,1,1,1,1,0,1.0
NGO_00199,7,6,1,0,7,19438,4,7,6,7,6,0.8929
NGO_00200,7,7,0,0,7,13467,5,7,7,7,7,0.9286
