project_id,ngo_id,project_name,project_status,project_description,primary_sector,secondary_sectors,funder_name,location_states,location_districts,start_date,end_date,duration_months,beneficiaries_reported,villages_covered,milestones_reported,milestones_completed,outcomes_reported,partnerships_reported,source_url,source_type,verification_status
PRJ_NGO_00011_3,NGO_00011,Nutrition & Food Security Initiative #3 (Jaipur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],CSR India Grant,"[""Rajasthan""]","[""Jaipur""]",2022-12-01,2024-02-24,15,3442,10,3,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00011_3,Annual Report,Self-reported
PRJ_NGO_00011_4,NGO_00011,Nutrition & Food Security Initiative #4 (Jaipur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],,"[""Rajasthan""]","[""Jaipur""]",2021-12-01,2022-06-29,7,4269,11,4,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00011_4,Annual Report,Self-reported
PRJ_NGO_00011_5,NGO_00011,Nutrition & Food Security Initiative #5 (Jaipur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],,"[""Rajasthan""]","[""Jaipur""]",2020-04-01,2021-03-27,12,2253,6,3,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00011_5,Annual Report,Self-reported
PRJ_NGO_00012_1,NGO_00012,Environment & Forests Initiative #1 (Bengaluru Urban),Ongoing,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Nutrition & Food Security""]",CSR India Grant,"[""Karnataka""]","[""Bengaluru Urban""]",2024-02-01,,20,1937,2,3,2,,[],https://eleos.org/projects/PRJ_NGO_00012_1,Annual Report,Self-reported
PRJ_NGO_00012_2,NGO_00012,Environment & Forests Initiative #2 (Bengaluru Urban),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Nutrition & Food Security""]",District Development Fund,"[""Karnataka""]","[""Bengaluru Urban""]",2023-03-01,2025-02-18,24,762,19,4,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00012_2,Annual Report,Self-reported
PRJ_NGO_00012_3,NGO_00012,Environment & Forests Initiative #3 (Bengaluru Urban),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Nutrition & Food Security""]",District Development Fund,"[""Karnataka""]","[""Bengaluru Urban""]",2022-04-01,2023-07-25,16,223,10,4,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00012_3,Annual Report,Self-reported
PRJ_NGO_00012_4,NGO_00012,Environment & Forests Initiative #4 (Bengaluru Urban),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Nutrition & Food Security""]",CSR India Grant,"[""Karnataka""]","[""Bengaluru Urban""]",2021-03-01,2021-11-26,9,1279,2,5,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00012_4,Annual Report,Self-reported
PRJ_NGO_00012_5,NGO_00012,Environment & Forests Initiative #5 (Bengaluru Urban),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Nutrition & Food Security""]",Public Donations,"[""Karnataka""]","[""Bengaluru Urban""]",2021-01-01,2021-11-27,11,629,6,6,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00012_5,Annual Report,Self-reported
PRJ_NGO_00013_1,NGO_00013,Education Initiative #1 (Ahmedabad),Ongoing,Community-based education support project serving rural/urban clusters.,Education,[],District Development Fund,"[""Gujarat""]","[""Ahmedabad""]",2025-01-01,,10,607,4,5,2,,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00013_1,Annual Report,Self-reported
PRJ_NGO_00013_2,NGO_00013,Education Initiative #2 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,[],State Grant,"[""Gujarat""]","[""Ahmedabad""]",2024-08-01,2026-03-24,20,2437,8,3,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00013_2,Annual Report,Self-reported
PRJ_NGO_00013_3,NGO_00013,Education Initiative #3 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,[],State Grant,"[""Gujarat""]","[""Ahmedabad""]",2023-05-01,2025-04-20,24,4516,11,3,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00013_3,Annual Report,Self-reported
PRJ_NGO_00013_4,NGO_00013,Education Initiative #4 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,[],CSR India Grant,"[""Gujarat""]","[""Ahmedabad""]",2022-10-01,2023-04-29,7,1874,11,4,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00013_4,Annual Report,Self-reported
PRJ_NGO_00013_5,NGO_00013,Education Initiative #5 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,[],CSR India Grant,"[""Gujarat""]","[""Ahmedabad""]",2021-05-01,2022-08-24,16,263,17,6,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00013_5,Annual Report,Self-reported
PRJ_NGO_00013_6,NGO_00013,Education Initiative #6 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,[],,"[""Gujarat""]","[""Ahmedabad""]",2020-09-01,2021-09-26,13,4777,13,3,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00013_6,Annual Report,Self-reported
PRJ_NGO_00014_1,NGO_00014,Water & Sanitation Initiative #1 (Nagpur),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Rural Development""]",,"[""Maharashtra""]","[""Nagpur""]",2024-07-01,2026-02-21,20,4740,3,6,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00014_1,Annual Report,Self-reported
PRJ_NGO_00014_2,NGO_00014,Water & Sanitation Initiative #2 (Nagpur),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Rural Development""]",,"[""Maharashtra""]","[""Nagpur""]",2023-06-01,2025-02-20,21,1435,3,6,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00014_2,Annual Report,Self-reported
PRJ_NGO_00014_3,NGO_00014,Water & Sanitation Initiative #3 (Nagpur),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Rural Development""]",,"[""Maharashtra""]","[""Nagpur""]",2022-06-01,2023-01-27,8,1613,3,4,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00014_3,Annual Report,Self-reported
PRJ_NGO_00014_4,NGO_00014,Water & Sanitation Initiative #4 (Nagpur),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Rural Development""]",,"[""Maharashtra""]","[""Nagpur""]",2022-09-01,2024-06-22,22,1500,13,5,4,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00014_4,Annual Report,Self-reported
PRJ_NGO_00014_5,NGO_00014,Water & Sanitation Initiative #5 (Nagpur),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Rural Development""]",Public Donations,"[""Maharashtra""]","[""Nagpur""]",2022-06-01,2022-12-28,7,739,12,3,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00014_5,Annual Report,Self-reported
PRJ_NGO_00014_6,NGO_00014,Water & Sanitation Initiative #6 (Nagpur),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Rural Development""]",,"[""Maharashtra""]","[""Nagpur""]",2022-05-01,2023-06-25,14,1431,12,3,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00014_6,Annual Report,Self-reported
PRJ_NGO_00015_1,NGO_00015,Healthcare & Medical Initiative #1 (Khordha),Ongoing,Community-based healthcare & medical support project serving rural/urban clusters.,Healthcare & Medical,"[""Women Empowerment"", ""Rural Development""]",,"[""Odisha""]","[""Khordha""]",2024-04-01,,19,3944,4,3,2,,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00015_1,Annual Report,Self-reported
PRJ_NGO_00015_2,NGO_00015,Healthcare & Medical Initiative #2 (Khordha),Completed,Community-based healthcare & medical support project serving rural/urban clusters.,Healthcare & Medical,"[""Women Empowerment"", ""Rural Development""]",,"[""Odisha""]","[""Khordha""]",2023-01-01,2024-10-22,22,2181,6,5,5,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00015_2,Annual Report,Self-reported
PRJ_NGO_00015_3,NGO_00015,Healthcare & Medical Initiative #3 (Khordha),Completed,Community-based healthcare & medical support project serving rural/urban clusters.,Healthcare & Medical,"[""Women Empowerment"", ""Rural Development""]",,"[""Odisha""]","[""Khordha""]",2022-06-01,2023-06-26,13,3612,7,3,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00015_3,Annual Report,Self-reported
PRJ_NGO_00015_4,NGO_00015,Healthcare & Medical Initiative #4 (Khordha),Completed,Community-based healthcare & medical support project serving rural/urban clusters.,Healthcare & Medical,"[""Women Empowerment"", ""Rural Development""]",,"[""Odisha""]","[""Khordha""]",2021-02-01,2022-11-23,22,4356,18,3,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00015_4,Annual Report,Self-reported
PRJ_NGO_00016_1,NGO_00016,Skill Development & Livelihood Initiative #1 (Coimbatore),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,[],CSR India Grant,"[""Tamil Nadu""]","[""Coimbatore""]",2024-07-01,2025-08-25,14,814,14,5,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00016_1,Annual Report,Self-reported
PRJ_NGO_00016_2,NGO_00016,Skill Development & Livelihood Initiative #2 (Coimbatore),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,[],CSR India Grant,"[""Tamil Nadu""]","[""Coimbatore""]",2023-11-01,2024-09-26,11,1369,16,3,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00016_2,Annual Report,Self-reported
PRJ_NGO_00016_3,NGO_00016,Skill Development & Livelihood Initiative #3 (Coimbatore),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,[],Public Donations,"[""Tamil Nadu""]","[""Coimbatore""]",2022-11-01,2024-03-25,17,3336,20,3,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00016_3,Annual Report,Self-reported
PRJ_NGO_00016_4,NGO_00016,Skill Development & Livelihood Initiative #4 (Coimbatore),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,[],Public Donations,"[""Tamil Nadu""]","[""Coimbatore""]",2021-08-01,2022-12-24,17,3836,4,4,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00016_4,Annual Report,Self-reported
PRJ_NGO_00017_1,NGO_00017,Environment & Forests Initiative #1 (Salem),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",Public Donations,"[""Tamil Nadu""]","[""Salem""]",2024-02-01,2024-11-27,10,807,16,6,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00017_1,Annual Report,Self-reported
PRJ_NGO_00017_2,NGO_00017,Environment & Forests Initiative #2 (Salem),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",District Development Fund,"[""Tamil Nadu""]","[""Salem""]",2023-09-01,2025-08-21,24,1257,15,3,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00017_2,Annual Report,Self-reported
PRJ_NGO_00018_1,NGO_00018,Water & Sanitation Initiative #1 (South Delhi),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",State Grant,"[""Delhi""]","[""South Delhi""]",2024-09-01,2026-04-24,20,2727,17,3,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00018_1,Annual Report,Self-reported
PRJ_NGO_00018_2,NGO_00018,Water & Sanitation Initiative #2 (South Delhi),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",District Development Fund,"[""Delhi""]","[""South Delhi""]",2023-09-01,2025-04-23,20,1962,20,5,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00018_2,Annual Report,Self-reported
