project_id,submitted_budget,predicted_expected_budget,deviation_pct,B_score,S_score,C_score,I_score,feasibility_score,feasibility_label
PRJ_NGO_00014_3,2763100.00,2079256.00,32.89,64.22,100.00,88.38,76.50,79.84,High
PRJ_NGO_00014_5,1281300.00,955295.25,34.13,51.75,100.00,88.55,76.50,74.88,Moderate
PRJ_NGO_00014_4,5497100.00,4990002.50,10.16,90.00,100.00,100.00,82.50,93.38,Very High
PRJ_NGO_00014_2,5169300.00,4661681.50,10.89,85.00,100.00,100.00,84.00,91.60,Very High
PRJ_NGO_00014_1,15378800.00,17954226.00,14.34,100.00,92.60,100.00,91.50,96.88,Very High
PRJ_NGO_00015_4,23049600.00,21109702.00,9.19,85.00,91.25,99.27,68.00,86.87,High
PRJ_NGO_00015_3,12123900.00,11010066.00,10.12,100.00,100.00,100.00,93.50,99.03,Very High
PRJ_NGO_00015_2,11280000.00,10365355.00,8.82,86.87,100.00,100.00,93.50,93.77,Very High
PRJ_NGO_00015_1,18528200.00,14661025.00,26.38,77.25,100.00,100.00,99.50,90.82,Very High
PRJ_NGO_00016_4,16119900.00,14120365.00,14.16,86.18,91.25,100.00,68.00,87.48,High
PRJ_NGO_00016_3,14486400.00,12429609.00,16.55,96.90,100.00,100.00,90.50,97.34,Very High
PRJ_NGO_00016_2,3667400.00,3820305.50,4.00,100.00,100.00,97.32,90.50,98.04,Very High
PRJ_NGO_00016_1,2622200.00,3005186.75,12.74,90.00,100.00,100.00,96.50,95.47,Very High
PRJ_NGO_00017_2,3553500.00,4938593.50,28.05,68.82,96.50,98.56,60.00,80.36,High
PRJ_NGO_00017_1,1068700.00,1818951.88,41.25,40.50,100.00,86.04,78.00,70.11,Moderate
PRJ_NGO_00018_3,18550200.00,16504978.00,12.39,75.00,87.26,100.00,62.00,81.11,High
PRJ_NGO_00018_2,8063500.00,6011580.00,34.13,61.73,100.00,100.00,87.00,82.74,High
PRJ_NGO_00018_1,10801700.00,6858249.50,57.50,11.25,100.00,100.00,88.50,62.78,Moderate
PRJ_NGO_00019_5,1266900.00,1312483.88,3.47,88.81,96.50,83.81,55.00,84.66,High
PRJ_NGO_00019_4,2618900.00,3104614.25,15.64,88.71,100.00,82.80,77.50,88.67,High
PRJ_NGO_00019_3,4404400.00,6054915.50,27.26,75.48,100.00,82.69,82.00,84.03,High
PRJ_NGO_00019_2,3367500.00,4552547.00,26.03,77.94,100.00,81.14,93.50,86.43,High
PRJ_NGO_00019_1,2608900.00,3369056.25,22.56,84.87,100.00,79.89,95.00,89.18,High
PRJ_NGO_00020_4,4423900.00,5792805.00,23.63,66.41,91.25,90.91,60.00,76.56,High
PRJ_NGO_00020_5,1937700.00,2327405.75,16.74,96.51,100.00,90.95,81.50,94.02,Very High
PRJ_NGO_00020_3,4359000.00,4488835.00,2.89,85.00,100.00,89.71,83.00,89.39,High
PRJ_NGO_00020_2,9003000.00,10633321.00,15.33,85.47,100.00,94.58,90.50,91.68,Very High
PRJ_NGO_00020_1,3833500.00,4973930.00,22.93,84.14,100.00,87.45,96.00,90.55,Very High
PRJ_NGO_00021_6,3524200.00,3259603.75,8.12,90.00,96.50,100.00,60.00,89.12,High
PRJ_NGO_00021_5,1020500.00,909242.38,12.24,90.00,100.00,93.15,78.00,91.33,Very High
PRJ_NGO_00021_4,8476000.00,7636851.50,10.99,85.00,91.41,99.81,78.00,88.52,High
PRJ_NGO_00021_7,24445400.00,23673256.00,3.26,100.00,100.00,100.00,87.00,98.05,Very High
PRJ_NGO_00021_3,9831600.00,8722162.00,12.72,90.00,100.00,100.00,92.50,94.88,Very High
PRJ_NGO_00021_2,4461600.00,4273434.00,4.40,100.00,100.00,92.95,100.00,98.59,Very High
PRJ_NGO_00021_1,2754200.00,3048063.25,9.64,94.40,100.00,100.00,100.00,97.76,Very High
PRJ_NGO_00022_5,13365800.00,12032088.00,11.08,90.00,91.25,100.00,60.00,87.81,High
PRJ_NGO_00022_4,13330700.00,12174665.00,9.50,100.00,100.00,100.00,87.00,98.05,Very High
PRJ_NGO_00022_3,12448500.00,12704351.00,2.01,75.00,100.00,99.59,88.50,88.19,High
PRJ_NGO_00022_2,4957800.00,5171241.50,4.13,90.00,100.00,95.41,96.00,94.48,Very High
PRJ_NGO_00022_1,8711200.00,5954143.50,46.30,19.24,100.00,100.00,97.50,67.32,Moderate
PRJ_NGO_00023_3,9066500.00,7975525.00,13.68,85.00,96.50,100.00,64.00,87.72,High
PRJ_NGO_00023_2,5488600.00,4245442.50,29.28,59.33,100.00,91.37,86.50,79.98,High
PRJ_NGO_00023_1,9167800.00,6344381.00,44.50,38.74,100.00,100.00,88.00,73.70,Moderate
PRJ_NGO_00024_2,3230100.00,2698394.75,19.70,80.59,96.50,100.00,68.00,86.56,High
PRJ_NGO_00024_1,3544800.00,2481187.50,42.87,23.94,100.00,100.00,86.50,67.55,Moderate
PRJ_NGO_00025_6,2106000.00,1965325.12,7.16,90.00,96.50,100.00,68.00,90.33,Very High
PRJ_NGO_00025_5,13041300.00,12709964.00,2.61,90.00,88.85,100.00,87.00,91.26,Very High
PRJ_NGO_00025_4,9854000.00,9853361.00,0.01,85.00,100.00,100.00,94.00,93.10,Very High
PRJ_NGO_00025_3,17977000.00,16521116.00,8.81,100.00,100.00,100.00,100.00,100.00,Very High
PRJ_NGO_00025_2,519400.00,1188660.00,56.30,11.85,100.00,93.32,100.00,63.40,Moderate
PRJ_NGO_00025_1,3840000.00,3956694.75,2.95,90.00,100.00,99.04,100.00,95.81,Very High
PRJ_NGO_00026_2,6245700.00,5790722.00,7.86,82.94,91.25,97.92,68.00,85.77,High
PRJ_NGO_00026_1,2579200.00,2724274.00,5.33,100.00,100.00,91.93,89.50,96.81,Very High
PRJ_NGO_00027_4,7187900.00,6292441.50,14.23,85.00,91.25,95.83,68.00,86.18,High
PRJ_NGO_00027_3,6662300.00,6855202.00,2.81,100.00,100.00,100.00,90.00,98.50,Very High
PRJ_NGO_00027_2,6769200.00,8928703.00,24.19,59.28,100.00,87.97,90.00,79.81,High
PRJ_NGO_00027_1,1544900.00,2733397.25,43.48,31.30,100.00,100.00,100.00,72.52,Moderate
PRJ_NGO_00028_3,1987000.00,1994698.00,0.39,91.38,96.50,97.50,68.00,90.38,Very High
PRJ_NGO_00028_2,237500.00,10000.00,2275.00,0.00,100.00,83.79,90.00,55.26,Low
PRJ_NGO_00028_1,486800.00,820032.69,40.64,48.41,100.00,90.09,90.00,75.88,High
PRJ_NGO_00029_1,1622500.00,1692208.00,4.12,100.00,96.50,100.00,60.00,93.12,Very High
PRJ_NGO_00029_2,1351000.00,1618253.25,16.51,96.97,100.00,96.53,80.00,95.09,Very High
PRJ_NGO_00030_6,1188400.00,1417481.75,16.16,87.68,96.50,100.00,68.00,89.40,High
PRJ_NGO_00030_5,6237100.00,6188621.50,0.78,92.10,87.35,91.81,83.50,89.57,High
PRJ_NGO_00030_4,6621400.00,6718396.00,1.44,90.00,100.00,100.00,89.50,94.42,Very High
PRJ_NGO_00030_3,5356900.00,5167564.00,3.66,85.00,100.00,100.00,95.50,93.33,Very High
PRJ_NGO_00030_2,15468500.00,14144607.00,9.36,100.00,100.00,100.00,95.50,99.33,Very High
PRJ_NGO_00030_1,4869400.00,4729440.50,2.96,100.00,100.00,100.00,100.00,100.00,Very High
PRJ_NGO_00031_2,26194700.00,25393146.00,3.16,85.00,91.25,100.00,68.00,87.01,High
PRJ_NGO_00031_1,9230700.00,6875920.50,34.25,56.81,100.00,100.00,97.00,82.28,High
PRJ_NGO_00032_1,7688500.00,9139884.00,15.88,73.24,91.25,95.24,60.00,80.16,High
PRJ_NGO_00033_2,4725800.00,4757719.00,0.67,86.70,96.50,100.00,60.00,87.81,High
PRJ_NGO_00033_3,4524500.00,3723094.75,21.53,67.09,100.00,100.00,79.00,83.68,High
PRJ_NGO_00033_1,10305100.00,8529309.00,20.82,88.36,100.00,100.00,80.50,92.42,Very High
PRJ_NGO_00034_2,1467000.00,1710597.38,14.24,90.00,96.50,94.22,68.00,89.17,High
PRJ_NGO_00034_1,4509300.00,6038727.50,25.33,64.35,93.00,89.36,86.50,79.84,High
PRJ_NGO_00035_4,7263500.00,7964936.00,8.81,90.00,91.25,87.78,55.00,84.62,High
PRJ_NGO_00035_3,5076700.00,6113064.00,16.95,96.09,100.00,86.31,84.50,93.37,Very High
PRJ_NGO_00035_2,1383200.00,1328495.00,4.12,91.58,100.00,82.52,86.00,91.04,Very High
PRJ_NGO_00035_1,3653900.00,3908436.25,6.51,100.00,100.00,85.26,93.50,96.08,Very High
PRJ_NGO_00036_3,2103900.00,2349947.25,10.47,90.00,96.50,84.87,68.00,87.30,High
PRJ_NGO_00036_2,5403000.00,6752877.50,19.99,90.02,100.00,88.07,86.50,91.60,Very High
PRJ_NGO_00036_1,13512600.00,12587920.00,7.35,85.00,100.00,99.03,89.50,92.23,Very High
PRJ_NGO_00037_1,3463500.00,2585071.50,33.98,62.04,96.50,94.52,60.00,76.84,High
PRJ_NGO_00038_1,4359900.00,10131854.00,56.97,21.52,91.25,86.91,60.00,57.80,Low
PRJ_NGO_00041_4,2998500.00,3454992.50,13.21,100.00,96.50,86.28,68.00,91.58,Very High
PRJ_NGO_00041_3,3798400.00,4663052.00,18.54,92.91,100.00,96.86,89.50,94.96,Very High
PRJ_NGO_00041_2,2177700.00,2133975.75,2.05,85.00,100.00,98.54,89.50,92.13,Very High
PRJ_NGO_00041_1,9984900.00,11340749.00,11.96,100.00,100.00,100.00,95.50,99.33,Very High
PRJ_NGO_00042_3,8133700.00,7530226.50,8.01,90.00,96.50,100.00,64.00,89.72,High
PRJ_NGO_00042_2,13366700.00,13026789.00,2.61,100.00,100.00,100.00,84.50,97.67,Very High
PRJ_NGO_00042_1,9223400.00,7891320.50,16.88,96.24,100.00,100.00,89.00,96.85,Very High
PRJ_NGO_00043_3,4415300.00,4787805.00,7.78,100.00,91.25,83.32,60.00,88.48,High
PRJ_NGO_00043_2,10164800.00,10123785.00,0.41,90.00,100.00,93.13,84.00,92.23,Very High
PRJ_NGO_00043_1,1199000.00,1888689.00,36.52,41.97,100.00,93.95,85.50,73.40,Moderate
PRJ_NGO_00044_6,6770200.00,7878064.50,14.06,90.00,91.25,87.89,60.00,85.39,High
PRJ_NGO_00044_5,1265300.00,1385754.38,8.69,90.00,100.00,85.35,85.50,90.89,Very High
PRJ_NGO_00044_4,1517100.00,1917964.38,20.90,88.20,100.00,82.42,87.00,89.81,High
PRJ_NGO_00044_3,2529400.00,2157419.75,17.24,95.52,100.00,79.72,94.50,93.33,Very High
PRJ_NGO_00044_2,3611000.00,4218771.00,14.41,85.00,100.00,84.22,96.00,90.24,Very High
PRJ_NGO_00044_1,2362100.00,3095547.75,23.69,72.61,100.00,81.59,100.00,85.36,High
PRJ_NGO_00046_7,10414100.00,9967873.00,4.48,100.00,91.25,98.19,68.00,92.65,Very High
PRJ_NGO_00046_6,6946600.00,7385253.50,5.94,90.00,100.00,90.13,93.00,92.98,Very High
PRJ_NGO_00046_5,2593400.00,2229196.50,16.34,97.32,100.00,93.42,97.00,97.16,Very High
PRJ_NGO_00046_4,2093400.00,2052157.38,2.01,75.00,100.00,87.47,100.00,87.49,High
PRJ_NGO_00046_3,4841800.00,5562899.50,12.96,85.00,99.68,84.05,100.00,90.73,Very High
PRJ_NGO_00046_2,3177300.00,3343439.00,4.97,100.00,100.00,87.33,100.00,97.47,Very High
PRJ_NGO_00046_1,7508000.00,7948152.50,5.54,76.00,100.00,92.13,100.00,88.83,High
PRJ_NGO_00047_6,3957600.00,4106122.00,3.62,85.00,96.50,94.50,60.00,86.03,High
PRJ_NGO_00047_5,3094400.00,3333108.75,7.16,100.00,100.00,97.07,78.50,96.19,Very High
PRJ_NGO_00047_4,3602300.00,3936002.75,8.48,100.00,100.00,85.63,80.00,94.13,Very High
PRJ_NGO_00047_3,4544700.00,5016107.00,9.40,93.69,100.00,84.74,90.50,93.00,Very High
PRJ_NGO_00047_2,3419100.00,3352993.75,1.97,100.00,100.00,94.09,96.00,98.22,Very High
PRJ_NGO_00047_1,5319400.00,6548013.50,18.76,92.47,100.00,89.80,100.00,94.95,Very High
PRJ_NGO_00048_5,1856200.00,1532668.25,21.11,77.78,96.50,87.47,68.00,82.93,High
PRJ_NGO_00048_4,8934300.00,7443566.50,20.03,79.95,93.00,95.06,86.00,87.14,High
PRJ_NGO_00048_3,5941000.00,5868495.00,1.24,100.00,100.00,99.00,90.00,98.30,Very High
PRJ_NGO_00048_2,9358200.00,7383403.00,26.75,66.51,100.00,100.00,96.00,86.00,High
PRJ_NGO_00048_1,6882400.00,5876108.00,17.13,80.75,100.00,92.30,96.00,90.16,Very High
PRJ_NGO_00049_2,2506300.00,3480063.00,27.98,74.04,96.50,87.07,60.00,80.15,High
PRJ_NGO_00049_3,3101300.00,5415553.00,42.73,33.81,100.00,87.45,76.50,67.49,Moderate
PRJ_NGO_00049_1,2962900.00,5617099.50,47.25,31.87,100.00,82.50,81.00,66.40,Moderate
PRJ_NGO_00050_3,5597100.00,4312253.00,29.80,64.93,96.50,100.00,64.00,79.70,High
PRJ_NGO_00050_2,8627700.00,7220852.50,19.48,85.34,100.00,96.58,81.00,90.60,Very High
PRJ_NGO_00050_1,6362200.00,4740268.50,34.22,51.57,100.00,88.84,85.50,76.22,High
PRJ_NGO_00051_4,18204200.00,17706820.00,2.81,100.00,91.25,100.00,60.00,91.81,Very High
PRJ_NGO_00051_5,2871800.00,2481438.25,15.73,83.54,100.00,99.86,80.00,90.39,Very High
PRJ_NGO_00051_3,14881500.00,14548199.00,2.29,85.00,100.00,100.00,81.50,91.22,Very High
PRJ_NGO_00051_2,16114400.00,15696424.00,2.66,100.00,100.00,100.00,89.00,98.35,Very High
PRJ_NGO_00051_1,5267300.00,4459449.00,18.12,85.55,100.00,100.00,90.50,92.80,Very High
PRJ_NGO_00052_5,1988900.00,1736372.38,14.54,90.00,96.50,100.00,68.00,90.33,Very High
PRJ_NGO_00052_4,4271400.00,4195366.50,1.81,85.00,93.00,88.67,90.00,88.48,High
PRJ_NGO_00052_3,6569300.00,6341261.00,3.60,90.00,100.00,91.07,93.00,93.16,Very High
PRJ_NGO_00052_2,14750000.00,14656483.00,0.64,90.00,100.00,100.00,100.00,96.00,Very High
PRJ_NGO_00052_1,7164700.00,6706718.50,6.83,100.00,100.00,100.00,100.00,100.00,Very High
PRJ_NGO_00053_7,767000.00,826499.12,7.20,100.00,96.50,87.75,60.00,90.67,Very High
PRJ_NGO_00053_5,3735600.00,5087841.50,26.58,76.84,93.00,93.02,76.50,84.07,High
PRJ_NGO_00053_6,1679100.00,1765573.88,4.90,90.00,100.00,100.00,79.50,92.92,Very High
PRJ_NGO_00053_4,2747200.00,3522771.75,22.02,85.97,100.00,100.00,85.50,92.21,Very High
PRJ_NGO_00053_3,1631400.00,1855315.62,12.07,90.00,100.00,87.20,87.00,91.49,Very High
PRJ_NGO_00053_2,2426900.00,3170694.50,23.46,68.08,100.00,89.02,94.50,84.21,High
PRJ_NGO_00053_1,1170100.00,980353.75,19.35,76.29,100.00,96.57,96.00,89.23,High
PRJ_NGO_00054_2,5621500.00,7765852.00,27.61,74.77,91.25,88.17,60.00,79.36,High
PRJ_NGO_00054_1,14832500.00,15598878.00,4.91,100.00,100.00,100.00,84.00,97.60,Very High
PRJ_NGO_00055_6,1583900.00,1427628.75,10.95,90.00,96.50,93.15,60.00,87.75,High
PRJ_NGO_00055_7,11576000.00,12159809.00,4.80,100.00,93.00,100.00,80.00,95.25,Very High
PRJ_NGO_00055_4,3722100.00,3329099.50,11.81,90.00,100.00,100.00,87.00,94.05,Very High
PRJ_NGO_00055_3,4410900.00,4627040.50,4.67,75.00,100.00,92.64,93.00,87.48,High
PRJ_NGO_00055_5,11295000.00,11125071.00,1.53,100.00,100.00,100.00,93.00,98.95,Very High
PRJ_NGO_00055_2,4498900.00,3702613.25,21.51,86.99,100.00,100.00,100.00,94.80,Very High
PRJ_NGO_00055_1,5157600.00,3956575.50,30.36,62.33,100.00,100.00,100.00,84.93,High
PRJ_NGO_00056_1,2683400.00,5456281.00,50.82,24.59,91.25,84.67,60.00,58.58,Low
PRJ_NGO_00057_2,4171700.00,3282049.25,27.11,69.71,96.50,89.44,60.00,78.90,High
PRJ_NGO_00057_1,5982200.00,4677579.50,27.89,64.22,100.00,100.00,84.50,83.36,High
PRJ_NGO_00058_3,14694700.00,16882612.00,12.96,90.00,91.25,100.00,66.00,88.71,High
PRJ_NGO_00058_2,2952100.00,3398589.25,13.14,100.00,100.00,83.12,90.00,95.12,Very High
PRJ_NGO_00058_1,5558600.00,7088928.50,21.59,86.82,100.00,88.46,91.50,91.15,Very High
PRJ_NGO_00059_1,8371200.00,9083999.00,7.85,100.00,91.25,95.02,62.00,91.12,Very High
PRJ_NGO_00060_3,272900.00,10000.00,2629.00,0.00,96.50,78.74,65.00,49.62,Low
PRJ_NGO_00060_2,2513700.00,3141140.00,19.97,90.05,92.87,81.71,86.00,88.48,High
PRJ_NGO_00060_1,6183200.00,10578640.00,41.55,46.12,100.00,86.66,89.00,74.13,Moderate
PRJ_NGO_00061_7,2579400.00,3223942.25,19.99,90.02,96.50,86.53,59.00,86.29,High
PRJ_NGO_00061_6,12264700.00,11330503.00,8.24,100.00,100.00,98.88,80.50,96.85,Very High
PRJ_NGO_00061_5,3434600.00,3337964.75,2.90,100.00,100.00,92.32,85.00,96.21,Very High
PRJ_NGO_00061_4,8477400.00,8304939.00,2.08,100.00,100.00,91.77,92.50,97.23,Very High
PRJ_NGO_00061_3,18835600.00,19362422.00,2.72,100.00,100.00,100.00,94.00,99.10,Very High
PRJ_NGO_00061_2,6686000.00,5796638.00,15.34,99.31,100.00,91.05,100.00,97.94,Very High
PRJ_NGO_00061_1,8715900.00,5591104.50,55.89,22.06,100.00,99.10,100.00,68.64,Moderate
PRJ_NGO_00062_4,4352800.00,3612601.75,20.49,89.02,96.50,100.00,68.00,89.93,High
PRJ_NGO_00062_3,2354500.00,2508351.75,6.13,90.00,100.00,100.00,90.00,94.50,Very High
PRJ_NGO_00062_2,3785700.00,3255397.25,16.29,89.89,100.00,100.00,90.00,94.45,Very High
PRJ_NGO_00062_1,8212100.00,7477827.00,9.82,89.67,100.00,100.00,96.00,95.27,Very High
PRJ_NGO_00063_6,2523200.00,2866874.00,11.99,85.00,91.25,81.85,68.00,83.38,High
PRJ_NGO_00063_5,660100.00,964168.44,31.54,66.93,100.00,85.22,90.00,82.31,High
PRJ_NGO_00063_4,1205000.00,1934721.88,37.72,54.57,100.00,82.83,90.00,76.89,High
PRJ_NGO_00063_3,1567300.00,2032873.12,22.90,74.20,100.00,84.06,96.00,85.89,High
PRJ_NGO_00063_2,8606200.00,9102606.00,5.45,90.32,100.00,91.33,96.00,93.80,Very High
PRJ_NGO_00063_1,1672800.00,2436743.75,31.35,52.30,100.00,89.69,100.00,78.86,High
PRJ_NGO_00064_2,12218400.00,9182681.00,33.06,56.66,91.25,98.67,68.00,75.41,High
PRJ_NGO_00064_1,5815700.00,3994645.25,45.59,26.19,100.00,89.30,93.50,67.36,Moderate
PRJ_NGO_00065_5,17454100.00,17370612.00,0.48,91.54,91.25,100.00,68.00,89.63,High
PRJ_NGO_00065_4,6570300.00,6504739.50,1.01,80.52,100.00,100.00,93.50,91.23,Very High
PRJ_NGO_00065_3,8806500.00,9194335.00,4.22,100.00,100.00,100.00,93.50,99.03,Very High
PRJ_NGO_00065_2,6693200.00,6995600.50,4.32,90.00,100.00,100.00,99.50,95.92,Very High
PRJ_NGO_00065_1,1721300.00,2495879.75,31.03,57.93,100.00,90.47,99.50,81.19,High
PRJ_NGO_00066_7,4042400.00,4262342.50,5.16,90.17,96.50,100.00,68.00,90.39,Very High
PRJ_NGO_00066_6,2320200.00,2361533.25,1.75,100.00,100.00,81.97,87.50,94.52,Very High
PRJ_NGO_00066_5,5481800.00,6446716.00,14.97,90.00,93.00,79.82,87.50,88.34,High
PRJ_NGO_00066_4,9190100.00,8340121.50,10.19,95.36,100.00,100.00,96.50,97.62,Very High
PRJ_NGO_00066_3,9672900.00,11331860.00,14.64,100.00,100.00,97.47,96.50,98.97,Very High
PRJ_NGO_00066_2,2121500.00,2211921.75,4.09,100.00,100.00,93.52,100.00,98.70,Very High
PRJ_NGO_00066_1,6905100.00,8730119.00,20.90,78.19,100.00,92.84,100.00,89.84,High
PRJ_NGO_00067_5,10673100.00,11547910.00,7.58,100.00,91.25,100.00,60.00,91.81,Very High
PRJ_NGO_00067_3,9084900.00,7802965.00,16.43,92.22,100.00,96.22,79.50,93.06,Very High
PRJ_NGO_00067_4,10538800.00,8478196.00,24.30,66.39,100.00,98.58,79.50,83.20,High
PRJ_NGO_00067_6,7748200.00,7410831.50,4.55,85.00,100.00,99.07,85.50,91.64,Very High
PRJ_NGO_00067_2,8023100.00,7035643.50,14.04,100.00,100.00,100.00,87.00,98.05,Very High
PRJ_NGO_00067_1,7536200.00,6214469.00,21.27,72.46,100.00,88.51,94.50,85.86,High
PRJ_NGO_00068_3,6112900.00,7221604.50,15.35,79.81,91.25,87.01,62.00,81.44,High
PRJ_NGO_00068_2,10181800.00,11464694.00,11.19,90.00,100.00,92.99,82.50,91.97,Very High
PRJ_NGO_00068_1,2869100.00,3281922.00,12.58,90.00,100.00,91.31,88.00,92.46,Very High
PRJ_NGO_00069_6,2991900.00,3245649.25,7.82,85.00,96.50,88.96,68.00,86.12,High
PRJ_NGO_00069_5,5459500.00,6224014.50,12.28,76.37,98.07,89.19,89.50,86.33,High
PRJ_NGO_00069_4,1061300.00,561981.69,88.85,5.58,100.00,89.45,89.50,58.55,Low
PRJ_NGO_00069_3,8473600.00,9900761.00,14.41,90.00,100.00,94.80,95.50,94.29,Very High
PRJ_NGO_00069_2,6795700.00,8068683.00,15.78,88.45,100.00,90.64,99.50,93.43,Very High
PRJ_NGO_00069_1,1112200.00,591632.81,87.99,6.01,100.00,92.67,100.00,60.94,Moderate
PRJ_NGO_00070_3,7904700.00,8219491.50,3.83,90.00,91.25,91.81,68.00,87.37,High
PRJ_NGO_00070_2,12889400.00,12007931.00,7.34,90.56,100.00,100.00,90.50,94.80,Very High
PRJ_NGO_00070_1,8991000.00,10111470.00,11.08,90.00,99.32,90.02,90.50,92.41,Very High
PRJ_NGO_00071_3,3830200.00,4248315.50,9.84,100.00,91.25,82.54,68.00,89.52,High
PRJ_NGO_00071_2,3025500.00,3314280.75,8.71,85.00,100.00,81.09,94.00,89.32,High
PRJ_NGO_00071_1,2268900.00,4871018.50,53.42,8.29,100.00,92.33,94.00,60.88,Moderate
